2026-03-03 20:52:46,699 INFO [sync_financials] === sync_financials START ===
2026-03-03 20:52:46,699 INFO [sync_financials]   mode:       APPLY (本番反映)
2026-03-03 20:52:46,700 INFO [sync_financials]   scope:      RECENT 30日
2026-03-03 20:52:46,700 INFO [sync_financials]   sqlite:     C:\Users\takuy\OneDrive\tdnet-excel-input\data\jquants.db
2026-03-03 20:52:46,700 INFO [sync_financials]   table:      financials
2026-03-03 20:52:46,700 INFO [sync_financials]   limit:      無制限
2026-03-03 20:52:46,700 INFO [sync_financials]   batch-size: 500
2026-03-03 20:52:46,700 INFO [sync_financials]   log:        C:\Users\takuy\OneDrive\tdnet-excel-input\logs\sync_financials_apply_recent30d_20260303_205246.log
2026-03-03 20:52:46,708 INFO [sync_financials] [SQLite] 生データ: 87,157 rows / 3,820 codes
2026-03-03 20:52:46,708 INFO [sync_financials] [SQLite] 差分モード: fetched_at >= 2026-02-01 20:52:46 (直近30日)
2026-03-03 20:52:47,071 INFO [sync_financials] [SQLite] 重複排除後: 72,490 rows
2026-03-03 20:52:47,078 INFO [sync_financials] [SYNC] quarter 分布: {"1Q": 17819, "2Q": 17771, "3Q": 17832, "4Q": 13, "FY": 19055}
2026-03-03 20:52:47,078 INFO [sync_financials] [SYNC] 開始: 72,490 rows → financials (145 batches × 500)
2026-03-03 20:52:47,319 INFO [sync_financials]   batch 1/145: 500 rows upserted (累計 500 / 72,490, 0.2秒)
2026-03-03 20:52:47,475 INFO [sync_financials]   batch 2/145: 500 rows upserted (累計 1,000 / 72,490, 0.4秒)
2026-03-03 20:52:47,657 INFO [sync_financials]   batch 3/145: 500 rows upserted (累計 1,500 / 72,490, 0.6秒)
2026-03-03 20:52:47,824 INFO [sync_financials]   batch 4/145: 500 rows upserted (累計 2,000 / 72,490, 0.7秒)
2026-03-03 20:52:47,981 INFO [sync_financials]   batch 5/145: 500 rows upserted (累計 2,500 / 72,490, 0.9秒)
2026-03-03 20:52:48,146 INFO [sync_financials]   batch 6/145: 500 rows upserted (累計 3,000 / 72,490, 1.1秒)
2026-03-03 20:52:48,300 INFO [sync_financials]   batch 7/145: 500 rows upserted (累計 3,500 / 72,490, 1.2秒)
2026-03-03 20:52:48,459 INFO [sync_financials]   batch 8/145: 500 rows upserted (累計 4,000 / 72,490, 1.4秒)
2026-03-03 20:52:48,606 INFO [sync_financials]   batch 9/145: 500 rows upserted (累計 4,500 / 72,490, 1.5秒)
2026-03-03 20:52:48,759 INFO [sync_financials]   batch 10/145: 500 rows upserted (累計 5,000 / 72,490, 1.7秒)
2026-03-03 20:52:48,909 INFO [sync_financials]   batch 11/145: 500 rows upserted (累計 5,500 / 72,490, 1.8秒)
2026-03-03 20:52:49,048 INFO [sync_financials]   batch 12/145: 500 rows upserted (累計 6,000 / 72,490, 2.0秒)
2026-03-03 20:52:49,192 INFO [sync_financials]   batch 13/145: 500 rows upserted (累計 6,500 / 72,490, 2.1秒)
2026-03-03 20:52:49,350 INFO [sync_financials]   batch 14/145: 500 rows upserted (累計 7,000 / 72,490, 2.3秒)
2026-03-03 20:52:49,494 INFO [sync_financials]   batch 15/145: 500 rows upserted (累計 7,500 / 72,490, 2.4秒)
2026-03-03 20:52:49,651 INFO [sync_financials]   batch 16/145: 500 rows upserted (累計 8,000 / 72,490, 2.6秒)
2026-03-03 20:52:49,794 INFO [sync_financials]   batch 17/145: 500 rows upserted (累計 8,500 / 72,490, 2.7秒)
2026-03-03 20:52:49,926 INFO [sync_financials]   batch 18/145: 500 rows upserted (累計 9,000 / 72,490, 2.8秒)
2026-03-03 20:52:50,095 INFO [sync_financials]   batch 19/145: 500 rows upserted (累計 9,500 / 72,490, 3.0秒)
2026-03-03 20:52:50,229 INFO [sync_financials]   batch 20/145: 500 rows upserted (累計 10,000 / 72,490, 3.2秒)
2026-03-03 20:52:50,375 INFO [sync_financials]   batch 21/145: 500 rows upserted (累計 10,500 / 72,490, 3.3秒)
2026-03-03 20:52:50,512 INFO [sync_financials]   batch 22/145: 500 rows upserted (累計 11,000 / 72,490, 3.4秒)
2026-03-03 20:52:50,646 INFO [sync_financials]   batch 23/145: 500 rows upserted (累計 11,500 / 72,490, 3.6秒)
2026-03-03 20:52:50,792 INFO [sync_financials]   batch 24/145: 500 rows upserted (累計 12,000 / 72,490, 3.7秒)
2026-03-03 20:52:50,924 INFO [sync_financials]   batch 25/145: 500 rows upserted (累計 12,500 / 72,490, 3.8秒)
2026-03-03 20:52:51,124 INFO [sync_financials]   batch 26/145: 500 rows upserted (累計 13,000 / 72,490, 4.0秒)
2026-03-03 20:52:51,260 INFO [sync_financials]   batch 27/145: 500 rows upserted (累計 13,500 / 72,490, 4.2秒)
2026-03-03 20:52:51,397 INFO [sync_financials]   batch 28/145: 500 rows upserted (累計 14,000 / 72,490, 4.3秒)
2026-03-03 20:52:51,546 INFO [sync_financials]   batch 29/145: 500 rows upserted (累計 14,500 / 72,490, 4.5秒)
2026-03-03 20:52:51,690 INFO [sync_financials]   batch 30/145: 500 rows upserted (累計 15,000 / 72,490, 4.6秒)
2026-03-03 20:52:51,829 INFO [sync_financials]   batch 31/145: 500 rows upserted (累計 15,500 / 72,490, 4.8秒)
2026-03-03 20:52:51,974 INFO [sync_financials]   batch 32/145: 500 rows upserted (累計 16,000 / 72,490, 4.9秒)
2026-03-03 20:52:52,150 INFO [sync_financials]   batch 33/145: 500 rows upserted (累計 16,500 / 72,490, 5.1秒)
2026-03-03 20:52:52,279 INFO [sync_financials]   batch 34/145: 500 rows upserted (累計 17,000 / 72,490, 5.2秒)
2026-03-03 20:52:52,423 INFO [sync_financials]   batch 35/145: 500 rows upserted (累計 17,500 / 72,490, 5.3秒)
2026-03-03 20:52:52,564 INFO [sync_financials]   batch 36/145: 500 rows upserted (累計 18,000 / 72,490, 5.5秒)
2026-03-03 20:52:52,701 INFO [sync_financials]   batch 37/145: 500 rows upserted (累計 18,500 / 72,490, 5.6秒)
2026-03-03 20:52:52,847 INFO [sync_financials]   batch 38/145: 500 rows upserted (累計 19,000 / 72,490, 5.8秒)
2026-03-03 20:52:52,993 INFO [sync_financials]   batch 39/145: 500 rows upserted (累計 19,500 / 72,490, 5.9秒)
2026-03-03 20:52:53,126 INFO [sync_financials]   batch 40/145: 500 rows upserted (累計 20,000 / 72,490, 6.0秒)
2026-03-03 20:52:53,278 INFO [sync_financials]   batch 41/145: 500 rows upserted (累計 20,500 / 72,490, 6.2秒)
2026-03-03 20:52:53,414 INFO [sync_financials]   batch 42/145: 500 rows upserted (累計 21,000 / 72,490, 6.3秒)
2026-03-03 20:52:53,551 INFO [sync_financials]   batch 43/145: 500 rows upserted (累計 21,500 / 72,490, 6.5秒)
2026-03-03 20:52:53,703 INFO [sync_financials]   batch 44/145: 500 rows upserted (累計 22,000 / 72,490, 6.6秒)
2026-03-03 20:52:53,850 INFO [sync_financials]   batch 45/145: 500 rows upserted (累計 22,500 / 72,490, 6.8秒)
2026-03-03 20:52:53,983 INFO [sync_financials]   batch 46/145: 500 rows upserted (累計 23,000 / 72,490, 6.9秒)
2026-03-03 20:52:54,136 INFO [sync_financials]   batch 47/145: 500 rows upserted (累計 23,500 / 72,490, 7.1秒)
2026-03-03 20:52:54,276 INFO [sync_financials]   batch 48/145: 500 rows upserted (累計 24,000 / 72,490, 7.2秒)
2026-03-03 20:52:54,434 INFO [sync_financials]   batch 49/145: 500 rows upserted (累計 24,500 / 72,490, 7.4秒)
2026-03-03 20:52:54,579 INFO [sync_financials]   batch 50/145: 500 rows upserted (累計 25,000 / 72,490, 7.5秒)
2026-03-03 20:52:54,714 INFO [sync_financials]   batch 51/145: 500 rows upserted (累計 25,500 / 72,490, 7.6秒)
2026-03-03 20:52:54,857 INFO [sync_financials]   batch 52/145: 500 rows upserted (累計 26,000 / 72,490, 7.8秒)
2026-03-03 20:52:55,005 INFO [sync_financials]   batch 53/145: 500 rows upserted (累計 26,500 / 72,490, 7.9秒)
2026-03-03 20:52:55,191 INFO [sync_financials]   batch 54/145: 500 rows upserted (累計 27,000 / 72,490, 8.1秒)
2026-03-03 20:52:55,323 INFO [sync_financials]   batch 55/145: 500 rows upserted (累計 27,500 / 72,490, 8.2秒)
2026-03-03 20:52:55,467 INFO [sync_financials]   batch 56/145: 500 rows upserted (累計 28,000 / 72,490, 8.4秒)
2026-03-03 20:52:55,605 INFO [sync_financials]   batch 57/145: 500 rows upserted (累計 28,500 / 72,490, 8.5秒)
2026-03-03 20:52:55,737 INFO [sync_financials]   batch 58/145: 500 rows upserted (累計 29,000 / 72,490, 8.7秒)
2026-03-03 20:52:55,873 INFO [sync_financials]   batch 59/145: 500 rows upserted (累計 29,500 / 72,490, 8.8秒)
2026-03-03 20:52:56,008 INFO [sync_financials]   batch 60/145: 500 rows upserted (累計 30,000 / 72,490, 8.9秒)
2026-03-03 20:52:56,162 INFO [sync_financials]   batch 61/145: 500 rows upserted (累計 30,500 / 72,490, 9.1秒)
2026-03-03 20:52:56,298 INFO [sync_financials]   batch 62/145: 500 rows upserted (累計 31,000 / 72,490, 9.2秒)
2026-03-03 20:52:56,426 INFO [sync_financials]   batch 63/145: 500 rows upserted (累計 31,500 / 72,490, 9.3秒)
2026-03-03 20:52:56,562 INFO [sync_financials]   batch 64/145: 500 rows upserted (累計 32,000 / 72,490, 9.5秒)
2026-03-03 20:52:56,770 INFO [sync_financials]   batch 65/145: 500 rows upserted (累計 32,500 / 72,490, 9.7秒)
2026-03-03 20:52:56,912 INFO [sync_financials]   batch 66/145: 500 rows upserted (累計 33,000 / 72,490, 9.8秒)
2026-03-03 20:52:57,057 INFO [sync_financials]   batch 67/145: 500 rows upserted (累計 33,500 / 72,490, 10.0秒)
2026-03-03 20:52:57,193 INFO [sync_financials]   batch 68/145: 500 rows upserted (累計 34,000 / 72,490, 10.1秒)
2026-03-03 20:52:57,342 INFO [sync_financials]   batch 69/145: 500 rows upserted (累計 34,500 / 72,490, 10.3秒)
