2026-03-05 15:32:17,555 INFO [sync_financials] === sync_financials START ===
2026-03-05 15:32:17,555 INFO [sync_financials]   mode:       APPLY (本番反映)
2026-03-05 15:32:17,555 INFO [sync_financials]   scope:      RECENT 30日
2026-03-05 15:32:17,555 INFO [sync_financials]   sqlite:     C:\Users\takuy\OneDrive\tdnet-excel-input\data\jquants.db
2026-03-05 15:32:17,555 INFO [sync_financials]   table:      financials
2026-03-05 15:32:17,555 INFO [sync_financials]   limit:      無制限
2026-03-05 15:32:17,555 INFO [sync_financials]   batch-size: 500
2026-03-05 15:32:17,556 INFO [sync_financials]   log:        C:\Users\takuy\OneDrive\tdnet-excel-input\logs\sync_financials_apply_recent30d_20260305_153217.log
2026-03-05 15:32:17,565 INFO [sync_financials] [SQLite] 生データ: 87,157 rows / 3,820 codes
2026-03-05 15:32:17,565 INFO [sync_financials] [SQLite] 差分モード: fetched_at >= 2026-02-03 15:32:17 (直近30日)
2026-03-05 15:32:17,923 INFO [sync_financials] [SQLite] 重複排除後: 72,490 rows
2026-03-05 15:32:17,929 INFO [sync_financials] [SYNC] quarter 分布: {"1Q": 17819, "2Q": 17771, "3Q": 17832, "4Q": 13, "FY": 19055}
2026-03-05 15:32:17,929 INFO [sync_financials] [SYNC] 開始: 72,490 rows → financials (145 batches × 500)
2026-03-05 15:32:18,206 INFO [sync_financials]   batch 1/145: 500 rows upserted (累計 500 / 72,490, 0.3秒)
2026-03-05 15:32:18,390 INFO [sync_financials]   batch 2/145: 500 rows upserted (累計 1,000 / 72,490, 0.5秒)
2026-03-05 15:32:18,586 INFO [sync_financials]   batch 3/145: 500 rows upserted (累計 1,500 / 72,490, 0.7秒)
2026-03-05 15:32:18,759 INFO [sync_financials]   batch 4/145: 500 rows upserted (累計 2,000 / 72,490, 0.8秒)
2026-03-05 15:32:18,939 INFO [sync_financials]   batch 5/145: 500 rows upserted (累計 2,500 / 72,490, 1.0秒)
2026-03-05 15:32:19,096 INFO [sync_financials]   batch 6/145: 500 rows upserted (累計 3,000 / 72,490, 1.2秒)
2026-03-05 15:32:19,246 INFO [sync_financials]   batch 7/145: 500 rows upserted (累計 3,500 / 72,490, 1.3秒)
2026-03-05 15:32:19,405 INFO [sync_financials]   batch 8/145: 500 rows upserted (累計 4,000 / 72,490, 1.5秒)
2026-03-05 15:32:19,561 INFO [sync_financials]   batch 9/145: 500 rows upserted (累計 4,500 / 72,490, 1.6秒)
2026-03-05 15:32:19,704 INFO [sync_financials]   batch 10/145: 500 rows upserted (累計 5,000 / 72,490, 1.8秒)
2026-03-05 15:32:19,874 INFO [sync_financials]   batch 11/145: 500 rows upserted (累計 5,500 / 72,490, 1.9秒)
2026-03-05 15:32:20,041 INFO [sync_financials]   batch 12/145: 500 rows upserted (累計 6,000 / 72,490, 2.1秒)
2026-03-05 15:32:20,195 INFO [sync_financials]   batch 13/145: 500 rows upserted (累計 6,500 / 72,490, 2.3秒)
2026-03-05 15:32:20,369 INFO [sync_financials]   batch 14/145: 500 rows upserted (累計 7,000 / 72,490, 2.4秒)
2026-03-05 15:32:20,509 INFO [sync_financials]   batch 15/145: 500 rows upserted (累計 7,500 / 72,490, 2.6秒)
2026-03-05 15:32:20,662 INFO [sync_financials]   batch 16/145: 500 rows upserted (累計 8,000 / 72,490, 2.7秒)
2026-03-05 15:32:20,826 INFO [sync_financials]   batch 17/145: 500 rows upserted (累計 8,500 / 72,490, 2.9秒)
2026-03-05 15:32:20,961 INFO [sync_financials]   batch 18/145: 500 rows upserted (累計 9,000 / 72,490, 3.0秒)
2026-03-05 15:32:21,113 INFO [sync_financials]   batch 19/145: 500 rows upserted (累計 9,500 / 72,490, 3.2秒)
2026-03-05 15:32:21,257 INFO [sync_financials]   batch 20/145: 500 rows upserted (累計 10,000 / 72,490, 3.3秒)
2026-03-05 15:32:21,430 INFO [sync_financials]   batch 21/145: 500 rows upserted (累計 10,500 / 72,490, 3.5秒)
2026-03-05 15:32:21,563 INFO [sync_financials]   batch 22/145: 500 rows upserted (累計 11,000 / 72,490, 3.6秒)
2026-03-05 15:32:21,695 INFO [sync_financials]   batch 23/145: 500 rows upserted (累計 11,500 / 72,490, 3.8秒)
2026-03-05 15:32:21,847 INFO [sync_financials]   batch 24/145: 500 rows upserted (累計 12,000 / 72,490, 3.9秒)
2026-03-05 15:32:21,986 INFO [sync_financials]   batch 25/145: 500 rows upserted (累計 12,500 / 72,490, 4.1秒)
2026-03-05 15:32:22,144 INFO [sync_financials]   batch 26/145: 500 rows upserted (累計 13,000 / 72,490, 4.2秒)
2026-03-05 15:32:22,274 INFO [sync_financials]   batch 27/145: 500 rows upserted (累計 13,500 / 72,490, 4.3秒)
2026-03-05 15:32:22,444 INFO [sync_financials]   batch 28/145: 500 rows upserted (累計 14,000 / 72,490, 4.5秒)
2026-03-05 15:32:22,594 INFO [sync_financials]   batch 29/145: 500 rows upserted (累計 14,500 / 72,490, 4.7秒)
2026-03-05 15:32:22,728 INFO [sync_financials]   batch 30/145: 500 rows upserted (累計 15,000 / 72,490, 4.8秒)
2026-03-05 15:32:22,867 INFO [sync_financials]   batch 31/145: 500 rows upserted (累計 15,500 / 72,490, 4.9秒)
2026-03-05 15:32:23,001 INFO [sync_financials]   batch 32/145: 500 rows upserted (累計 16,000 / 72,490, 5.1秒)
2026-03-05 15:32:23,144 INFO [sync_financials]   batch 33/145: 500 rows upserted (累計 16,500 / 72,490, 5.2秒)
2026-03-05 15:32:23,279 INFO [sync_financials]   batch 34/145: 500 rows upserted (累計 17,000 / 72,490, 5.3秒)
2026-03-05 15:32:23,437 INFO [sync_financials]   batch 35/145: 500 rows upserted (累計 17,500 / 72,490, 5.5秒)
2026-03-05 15:32:23,593 INFO [sync_financials]   batch 36/145: 500 rows upserted (累計 18,000 / 72,490, 5.7秒)
2026-03-05 15:32:23,726 INFO [sync_financials]   batch 37/145: 500 rows upserted (累計 18,500 / 72,490, 5.8秒)
2026-03-05 15:32:23,893 INFO [sync_financials]   batch 38/145: 500 rows upserted (累計 19,000 / 72,490, 6.0秒)
2026-03-05 15:32:24,062 INFO [sync_financials]   batch 39/145: 500 rows upserted (累計 19,500 / 72,490, 6.1秒)
2026-03-05 15:32:24,221 INFO [sync_financials]   batch 40/145: 500 rows upserted (累計 20,000 / 72,490, 6.3秒)
2026-03-05 15:32:24,354 INFO [sync_financials]   batch 41/145: 500 rows upserted (累計 20,500 / 72,490, 6.4秒)
2026-03-05 15:32:24,514 INFO [sync_financials]   batch 42/145: 500 rows upserted (累計 21,000 / 72,490, 6.6秒)
2026-03-05 15:32:24,685 INFO [sync_financials]   batch 43/145: 500 rows upserted (累計 21,500 / 72,490, 6.8秒)
2026-03-05 15:32:24,831 INFO [sync_financials]   batch 44/145: 500 rows upserted (累計 22,000 / 72,490, 6.9秒)
2026-03-05 15:32:24,979 INFO [sync_financials]   batch 45/145: 500 rows upserted (累計 22,500 / 72,490, 7.1秒)
2026-03-05 15:32:25,112 INFO [sync_financials]   batch 46/145: 500 rows upserted (累計 23,000 / 72,490, 7.2秒)
2026-03-05 15:32:25,289 INFO [sync_financials]   batch 47/145: 500 rows upserted (累計 23,500 / 72,490, 7.4秒)
2026-03-05 15:32:25,433 INFO [sync_financials]   batch 48/145: 500 rows upserted (累計 24,000 / 72,490, 7.5秒)
2026-03-05 15:32:25,576 INFO [sync_financials]   batch 49/145: 500 rows upserted (累計 24,500 / 72,490, 7.6秒)
2026-03-05 15:32:25,719 INFO [sync_financials]   batch 50/145: 500 rows upserted (累計 25,000 / 72,490, 7.8秒)
2026-03-05 15:32:25,854 INFO [sync_financials]   batch 51/145: 500 rows upserted (累計 25,500 / 72,490, 7.9秒)
2026-03-05 15:32:26,016 INFO [sync_financials]   batch 52/145: 500 rows upserted (累計 26,000 / 72,490, 8.1秒)
2026-03-05 15:32:26,151 INFO [sync_financials]   batch 53/145: 500 rows upserted (累計 26,500 / 72,490, 8.2秒)
2026-03-05 15:32:26,299 INFO [sync_financials]   batch 54/145: 500 rows upserted (累計 27,000 / 72,490, 8.4秒)
2026-03-05 15:32:26,437 INFO [sync_financials]   batch 55/145: 500 rows upserted (累計 27,500 / 72,490, 8.5秒)
2026-03-05 15:32:26,574 INFO [sync_financials]   batch 56/145: 500 rows upserted (累計 28,000 / 72,490, 8.6秒)
2026-03-05 15:32:26,721 INFO [sync_financials]   batch 57/145: 500 rows upserted (累計 28,500 / 72,490, 8.8秒)
2026-03-05 15:32:26,855 INFO [sync_financials]   batch 58/145: 500 rows upserted (累計 29,000 / 72,490, 8.9秒)
2026-03-05 15:32:26,992 INFO [sync_financials]   batch 59/145: 500 rows upserted (累計 29,500 / 72,490, 9.1秒)
2026-03-05 15:32:27,119 INFO [sync_financials]   batch 60/145: 500 rows upserted (累計 30,000 / 72,490, 9.2秒)
2026-03-05 15:32:27,246 INFO [sync_financials]   batch 61/145: 500 rows upserted (累計 30,500 / 72,490, 9.3秒)
2026-03-05 15:32:27,375 INFO [sync_financials]   batch 62/145: 500 rows upserted (累計 31,000 / 72,490, 9.4秒)
2026-03-05 15:32:27,533 INFO [sync_financials]   batch 63/145: 500 rows upserted (累計 31,500 / 72,490, 9.6秒)
2026-03-05 15:32:27,667 INFO [sync_financials]   batch 64/145: 500 rows upserted (累計 32,000 / 72,490, 9.7秒)
2026-03-05 15:32:27,816 INFO [sync_financials]   batch 65/145: 500 rows upserted (累計 32,500 / 72,490, 9.9秒)
2026-03-05 15:32:27,942 INFO [sync_financials]   batch 66/145: 500 rows upserted (累計 33,000 / 72,490, 10.0秒)
2026-03-05 15:32:28,086 INFO [sync_financials]   batch 67/145: 500 rows upserted (累計 33,500 / 72,490, 10.2秒)
2026-03-05 15:32:28,233 INFO [sync_financials]   batch 68/145: 500 rows upserted (累計 34,000 / 72,490, 10.3秒)
2026-03-05 15:32:28,357 INFO [sync_financials]   batch 69/145: 500 rows upserted (累計 34,500 / 72,490, 10.4秒)
2026-03-05 15:32:28,521 INFO [sync_financials]   batch 70/145: 500 rows upserted (累計 35,000 / 72,490, 10.6秒)
2026-03-05 15:32:28,662 INFO [sync_financials]   batch 71/145: 500 rows upserted (累計 35,500 / 72,490, 10.7秒)
2026-03-05 15:32:28,811 INFO [sync_financials]   batch 72/145: 500 rows upserted (累計 36,000 / 72,490, 10.9秒)
2026-03-05 15:32:28,952 INFO [sync_financials]   batch 73/145: 500 rows upserted (累計 36,500 / 72,490, 11.0秒)
2026-03-05 15:32:29,095 INFO [sync_financials]   batch 74/145: 500 rows upserted (累計 37,000 / 72,490, 11.2秒)
2026-03-05 15:32:29,233 INFO [sync_financials]   batch 75/145: 500 rows upserted (累計 37,500 / 72,490, 11.3秒)
2026-03-05 15:32:29,367 INFO [sync_financials]   batch 76/145: 500 rows upserted (累計 38,000 / 72,490, 11.4秒)
2026-03-05 15:32:29,503 INFO [sync_financials]   batch 77/145: 500 rows upserted (累計 38,500 / 72,490, 11.6秒)
2026-03-05 15:32:29,646 INFO [sync_financials]   batch 78/145: 500 rows upserted (累計 39,000 / 72,490, 11.7秒)
2026-03-05 15:32:29,783 INFO [sync_financials]   batch 79/145: 500 rows upserted (累計 39,500 / 72,490, 11.9秒)
2026-03-05 15:32:29,941 INFO [sync_financials]   batch 80/145: 500 rows upserted (累計 40,000 / 72,490, 12.0秒)
2026-03-05 15:32:30,077 INFO [sync_financials]   batch 81/145: 500 rows upserted (累計 40,500 / 72,490, 12.1秒)
2026-03-05 15:32:30,218 INFO [sync_financials]   batch 82/145: 500 rows upserted (累計 41,000 / 72,490, 12.3秒)
2026-03-05 15:32:30,346 INFO [sync_financials]   batch 83/145: 500 rows upserted (累計 41,500 / 72,490, 12.4秒)
2026-03-05 15:32:30,487 INFO [sync_financials]   batch 84/145: 500 rows upserted (累計 42,000 / 72,490, 12.6秒)
2026-03-05 15:32:30,617 INFO [sync_financials]   batch 85/145: 500 rows upserted (累計 42,500 / 72,490, 12.7秒)
2026-03-05 15:32:30,755 INFO [sync_financials]   batch 86/145: 500 rows upserted (累計 43,000 / 72,490, 12.8秒)
2026-03-05 15:32:30,878 INFO [sync_financials]   batch 87/145: 500 rows upserted (累計 43,500 / 72,490, 12.9秒)
2026-03-05 15:32:31,021 INFO [sync_financials]   batch 88/145: 500 rows upserted (累計 44,000 / 72,490, 13.1秒)
2026-03-05 15:32:31,145 INFO [sync_financials]   batch 89/145: 500 rows upserted (累計 44,500 / 72,490, 13.2秒)
2026-03-05 15:32:31,333 INFO [sync_financials]   batch 90/145: 500 rows upserted (累計 45,000 / 72,490, 13.4秒)
2026-03-05 15:32:31,469 INFO [sync_financials]   batch 91/145: 500 rows upserted (累計 45,500 / 72,490, 13.5秒)
2026-03-05 15:32:31,621 INFO [sync_financials]   batch 92/145: 500 rows upserted (累計 46,000 / 72,490, 13.7秒)
2026-03-05 15:32:31,759 INFO [sync_financials]   batch 93/145: 500 rows upserted (累計 46,500 / 72,490, 13.8秒)
2026-03-05 15:32:31,890 INFO [sync_financials]   batch 94/145: 500 rows upserted (累計 47,000 / 72,490, 14.0秒)
2026-03-05 15:32:32,030 INFO [sync_financials]   batch 95/145: 500 rows upserted (累計 47,500 / 72,490, 14.1秒)
2026-03-05 15:32:32,187 INFO [sync_financials]   batch 96/145: 500 rows upserted (累計 48,000 / 72,490, 14.3秒)
2026-03-05 15:32:32,343 INFO [sync_financials]   batch 97/145: 500 rows upserted (累計 48,500 / 72,490, 14.4秒)
2026-03-05 15:32:32,527 INFO [sync_financials]   batch 98/145: 500 rows upserted (累計 49,000 / 72,490, 14.6秒)
2026-03-05 15:32:32,686 INFO [sync_financials]   batch 99/145: 500 rows upserted (累計 49,500 / 72,490, 14.8秒)
2026-03-05 15:32:32,829 INFO [sync_financials]   batch 100/145: 500 rows upserted (累計 50,000 / 72,490, 14.9秒)
2026-03-05 15:32:32,967 INFO [sync_financials]   batch 101/145: 500 rows upserted (累計 50,500 / 72,490, 15.0秒)
2026-03-05 15:32:33,116 INFO [sync_financials]   batch 102/145: 500 rows upserted (累計 51,000 / 72,490, 15.2秒)
2026-03-05 15:32:33,274 INFO [sync_financials]   batch 103/145: 500 rows upserted (累計 51,500 / 72,490, 15.3秒)
2026-03-05 15:32:33,449 INFO [sync_financials]   batch 104/145: 500 rows upserted (累計 52,000 / 72,490, 15.5秒)
2026-03-05 15:32:33,584 INFO [sync_financials]   batch 105/145: 500 rows upserted (累計 52,500 / 72,490, 15.7秒)
2026-03-05 15:32:33,756 INFO [sync_financials]   batch 106/145: 500 rows upserted (累計 53,000 / 72,490, 15.8秒)
2026-03-05 15:32:33,889 INFO [sync_financials]   batch 107/145: 500 rows upserted (累計 53,500 / 72,490, 16.0秒)
2026-03-05 15:32:34,024 INFO [sync_financials]   batch 108/145: 500 rows upserted (累計 54,000 / 72,490, 16.1秒)
2026-03-05 15:32:34,169 INFO [sync_financials]   batch 109/145: 500 rows upserted (累計 54,500 / 72,490, 16.2秒)
2026-03-05 15:32:34,333 INFO [sync_financials]   batch 110/145: 500 rows upserted (累計 55,000 / 72,490, 16.4秒)
2026-03-05 15:32:34,471 INFO [sync_financials]   batch 111/145: 500 rows upserted (累計 55,500 / 72,490, 16.5秒)
2026-03-05 15:32:34,640 INFO [sync_financials]   batch 112/145: 500 rows upserted (累計 56,000 / 72,490, 16.7秒)
2026-03-05 15:32:34,794 INFO [sync_financials]   batch 113/145: 500 rows upserted (累計 56,500 / 72,490, 16.9秒)
2026-03-05 15:32:34,931 INFO [sync_financials]   batch 114/145: 500 rows upserted (累計 57,000 / 72,490, 17.0秒)
2026-03-05 15:32:35,085 INFO [sync_financials]   batch 115/145: 500 rows upserted (累計 57,500 / 72,490, 17.2秒)
2026-03-05 15:32:35,223 INFO [sync_financials]   batch 116/145: 500 rows upserted (累計 58,000 / 72,490, 17.3秒)
