2026-03-04 10:28:29,645 INFO [sync_financials] === sync_financials START ===
2026-03-04 10:28:29,646 INFO [sync_financials]   mode:       APPLY (本番反映)
2026-03-04 10:28:29,646 INFO [sync_financials]   scope:      RECENT 30日
2026-03-04 10:28:29,646 INFO [sync_financials]   sqlite:     C:\Users\takuy\OneDrive\tdnet-excel-input\data\jquants.db
2026-03-04 10:28:29,646 INFO [sync_financials]   table:      financials
2026-03-04 10:28:29,646 INFO [sync_financials]   limit:      無制限
2026-03-04 10:28:29,646 INFO [sync_financials]   batch-size: 500
2026-03-04 10:28:29,648 INFO [sync_financials]   log:        C:\Users\takuy\OneDrive\tdnet-excel-input\logs\sync_financials_apply_recent30d_20260304_102829.log
2026-03-04 10:28:29,655 INFO [sync_financials] [SQLite] 生データ: 87,157 rows / 3,820 codes
2026-03-04 10:28:29,655 INFO [sync_financials] [SQLite] 差分モード: fetched_at >= 2026-02-02 10:28:29 (直近30日)
2026-03-04 10:28:30,019 INFO [sync_financials] [SQLite] 重複排除後: 72,490 rows
2026-03-04 10:28:36,732 INFO [sync_financials]   batch 41/145: 500 rows upserted (累計 20,500 / 72,490, 6.7秒)
2026-03-04 10:28:36,881 INFO [sync_financials]   batch 42/145: 500 rows upserted (累計 21,000 / 72,490, 6.9秒)
2026-03-04 10:28:37,019 INFO [sync_financials]   batch 43/145: 500 rows upserted (累計 21,500 / 72,490, 7.0秒)
2026-03-04 10:28:37,154 INFO [sync_financials]   batch 44/145: 500 rows upserted (累計 22,000 / 72,490, 7.1秒)
2026-03-04 10:28:37,283 INFO [sync_financials]   batch 45/145: 500 rows upserted (累計 22,500 / 72,490, 7.3秒)
2026-03-04 10:28:37,416 INFO [sync_financials]   batch 46/145: 500 rows upserted (累計 23,000 / 72,490, 7.4秒)
2026-03-04 10:28:37,567 INFO [sync_financials]   batch 47/145: 500 rows upserted (累計 23,500 / 72,490, 7.5秒)
2026-03-04 10:28:37,725 INFO [sync_financials]   batch 48/145: 500 rows upserted (累計 24,000 / 72,490, 7.7秒)
2026-03-04 10:28:37,858 INFO [sync_financials]   batch 49/145: 500 rows upserted (累計 24,500 / 72,490, 7.8秒)
2026-03-04 10:28:38,036 INFO [sync_financials]   batch 50/145: 500 rows upserted (累計 25,000 / 72,490, 8.0秒)
2026-03-04 10:28:38,164 INFO [sync_financials]   batch 51/145: 500 rows upserted (累計 25,500 / 72,490, 8.1秒)
2026-03-04 10:28:38,292 INFO [sync_financials]   batch 52/145: 500 rows upserted (累計 26,000 / 72,490, 8.3秒)
2026-03-04 10:28:38,478 INFO [sync_financials]   batch 53/145: 500 rows upserted (累計 26,500 / 72,490, 8.5秒)
2026-03-04 10:28:38,636 INFO [sync_financials]   batch 54/145: 500 rows upserted (累計 27,000 / 72,490, 8.6秒)
2026-03-04 10:28:38,777 INFO [sync_financials]   batch 55/145: 500 rows upserted (累計 27,500 / 72,490, 8.8秒)
2026-03-04 10:28:38,919 INFO [sync_financials]   batch 56/145: 500 rows upserted (累計 28,000 / 72,490, 8.9秒)
2026-03-04 10:28:39,052 INFO [sync_financials]   batch 57/145: 500 rows upserted (累計 28,500 / 72,490, 9.0秒)
2026-03-04 10:28:39,180 INFO [sync_financials]   batch 58/145: 500 rows upserted (累計 29,000 / 72,490, 9.2秒)
2026-03-04 10:28:39,308 INFO [sync_financials]   batch 59/145: 500 rows upserted (累計 29,500 / 72,490, 9.3秒)
2026-03-04 10:28:39,443 INFO [sync_financials]   batch 60/145: 500 rows upserted (累計 30,000 / 72,490, 9.4秒)
2026-03-04 10:28:39,598 INFO [sync_financials]   batch 61/145: 500 rows upserted (累計 30,500 / 72,490, 9.6秒)
2026-03-04 10:28:39,740 INFO [sync_financials]   batch 62/145: 500 rows upserted (累計 31,000 / 72,490, 9.7秒)
2026-03-04 10:28:39,871 INFO [sync_financials]   batch 63/145: 500 rows upserted (累計 31,500 / 72,490, 9.8秒)
2026-03-04 10:28:40,003 INFO [sync_financials]   batch 64/145: 500 rows upserted (累計 32,000 / 72,490, 10.0秒)
2026-03-04 10:28:40,131 INFO [sync_financials]   batch 65/145: 500 rows upserted (累計 32,500 / 72,490, 10.1秒)
2026-03-04 10:28:40,264 INFO [sync_financials]   batch 66/145: 500 rows upserted (累計 33,000 / 72,490, 10.2秒)
2026-03-04 10:28:40,399 INFO [sync_financials]   batch 67/145: 500 rows upserted (累計 33,500 / 72,490, 10.4秒)
2026-03-04 10:28:40,530 INFO [sync_financials]   batch 68/145: 500 rows upserted (累計 34,000 / 72,490, 10.5秒)
2026-03-04 10:28:40,661 INFO [sync_financials]   batch 69/145: 500 rows upserted (累計 34,500 / 72,490, 10.6秒)
2026-03-04 10:28:40,818 INFO [sync_financials]   batch 70/145: 500 rows upserted (累計 35,000 / 72,490, 10.8秒)
2026-03-04 10:28:40,969 INFO [sync_financials]   batch 71/145: 500 rows upserted (累計 35,500 / 72,490, 10.9秒)
2026-03-04 10:28:41,100 INFO [sync_financials]   batch 72/145: 500 rows upserted (累計 36,000 / 72,490, 11.1秒)
2026-03-04 10:28:41,246 INFO [sync_financials]   batch 73/145: 500 rows upserted (累計 36,500 / 72,490, 11.2秒)
2026-03-04 10:28:41,393 INFO [sync_financials]   batch 74/145: 500 rows upserted (累計 37,000 / 72,490, 11.4秒)
2026-03-04 10:28:41,529 INFO [sync_financials]   batch 75/145: 500 rows upserted (累計 37,500 / 72,490, 11.5秒)
2026-03-04 10:28:41,661 INFO [sync_financials]   batch 76/145: 500 rows upserted (累計 38,000 / 72,490, 11.6秒)
2026-03-04 10:28:41,796 INFO [sync_financials]   batch 77/145: 500 rows upserted (累計 38,500 / 72,490, 11.8秒)
2026-03-04 10:28:41,926 INFO [sync_financials]   batch 78/145: 500 rows upserted (累計 39,000 / 72,490, 11.9秒)
2026-03-04 10:28:42,055 INFO [sync_financials]   batch 79/145: 500 rows upserted (累計 39,500 / 72,490, 12.0秒)
2026-03-04 10:28:42,197 INFO [sync_financials]   batch 80/145: 500 rows upserted (累計 40,000 / 72,490, 12.2秒)
2026-03-04 10:28:42,335 INFO [sync_financials]   batch 81/145: 500 rows upserted (累計 40,500 / 72,490, 12.3秒)
2026-03-04 10:28:42,465 INFO [sync_financials]   batch 82/145: 500 rows upserted (累計 41,000 / 72,490, 12.4秒)
2026-03-04 10:28:42,593 INFO [sync_financials]   batch 83/145: 500 rows upserted (累計 41,500 / 72,490, 12.6秒)
2026-03-04 10:28:42,732 INFO [sync_financials]   batch 84/145: 500 rows upserted (累計 42,000 / 72,490, 12.7秒)
2026-03-04 10:28:42,862 INFO [sync_financials]   batch 85/145: 500 rows upserted (累計 42,500 / 72,490, 12.8秒)
2026-03-04 10:28:42,989 INFO [sync_financials]   batch 86/145: 500 rows upserted (累計 43,000 / 72,490, 13.0秒)
2026-03-04 10:28:43,112 INFO [sync_financials]   batch 87/145: 500 rows upserted (累計 43,500 / 72,490, 13.1秒)
2026-03-04 10:28:43,262 INFO [sync_financials]   batch 88/145: 500 rows upserted (累計 44,000 / 72,490, 13.2秒)
2026-03-04 10:28:43,388 INFO [sync_financials]   batch 89/145: 500 rows upserted (累計 44,500 / 72,490, 13.4秒)
2026-03-04 10:28:43,515 INFO [sync_financials]   batch 90/145: 500 rows upserted (累計 45,000 / 72,490, 13.5秒)
2026-03-04 10:28:43,647 INFO [sync_financials]   batch 91/145: 500 rows upserted (累計 45,500 / 72,490, 13.6秒)
2026-03-04 10:28:43,783 INFO [sync_financials]   batch 92/145: 500 rows upserted (累計 46,000 / 72,490, 13.8秒)
2026-03-04 10:28:43,934 INFO [sync_financials]   batch 93/145: 500 rows upserted (累計 46,500 / 72,490, 13.9秒)
2026-03-04 10:28:44,074 INFO [sync_financials]   batch 94/145: 500 rows upserted (累計 47,000 / 72,490, 14.0秒)
2026-03-04 10:28:44,217 INFO [sync_financials]   batch 95/145: 500 rows upserted (累計 47,500 / 72,490, 14.2秒)
2026-03-04 10:28:44,359 INFO [sync_financials]   batch 96/145: 500 rows upserted (累計 48,000 / 72,490, 14.3秒)
2026-03-04 10:28:44,485 INFO [sync_financials]   batch 97/145: 500 rows upserted (累計 48,500 / 72,490, 14.5秒)
2026-03-04 10:28:44,652 INFO [sync_financials]   batch 98/145: 500 rows upserted (累計 49,000 / 72,490, 14.6秒)
2026-03-04 10:28:44,780 INFO [sync_financials]   batch 99/145: 500 rows upserted (累計 49,500 / 72,490, 14.8秒)
2026-03-04 10:28:44,918 INFO [sync_financials]   batch 100/145: 500 rows upserted (累計 50,000 / 72,490, 14.9秒)
2026-03-04 10:28:45,051 INFO [sync_financials]   batch 101/145: 500 rows upserted (累計 50,500 / 72,490, 15.0秒)
2026-03-04 10:28:45,180 INFO [sync_financials]   batch 102/145: 500 rows upserted (累計 51,000 / 72,490, 15.2秒)
2026-03-04 10:28:45,346 INFO [sync_financials]   batch 103/145: 500 rows upserted (累計 51,500 / 72,490, 15.3秒)
2026-03-04 10:28:45,492 INFO [sync_financials]   batch 104/145: 500 rows upserted (累計 52,000 / 72,490, 15.5秒)
2026-03-04 10:28:45,630 INFO [sync_financials]   batch 105/145: 500 rows upserted (累計 52,500 / 72,490, 15.6秒)
2026-03-04 10:28:45,764 INFO [sync_financials]   batch 106/145: 500 rows upserted (累計 53,000 / 72,490, 15.7秒)
2026-03-04 10:28:45,914 INFO [sync_financials]   batch 107/145: 500 rows upserted (累計 53,500 / 72,490, 15.9秒)
2026-03-04 10:28:46,062 INFO [sync_financials]   batch 108/145: 500 rows upserted (累計 54,000 / 72,490, 16.0秒)
2026-03-04 10:28:46,233 INFO [sync_financials]   batch 109/145: 500 rows upserted (累計 54,500 / 72,490, 16.2秒)
2026-03-04 10:28:46,364 INFO [sync_financials]   batch 110/145: 500 rows upserted (累計 55,000 / 72,490, 16.3秒)
2026-03-04 10:28:46,503 INFO [sync_financials]   batch 111/145: 500 rows upserted (累計 55,500 / 72,490, 16.5秒)
2026-03-04 10:28:46,656 INFO [sync_financials]   batch 112/145: 500 rows upserted (累計 56,000 / 72,490, 16.6秒)
2026-03-04 10:28:46,782 INFO [sync_financials]   batch 113/145: 500 rows upserted (累計 56,500 / 72,490, 16.8秒)
2026-03-04 10:28:46,922 INFO [sync_financials]   batch 114/145: 500 rows upserted (累計 57,000 / 72,490, 16.9秒)
2026-03-04 10:28:47,068 INFO [sync_financials]   batch 115/145: 500 rows upserted (累計 57,500 / 72,490, 17.0秒)
2026-03-04 10:28:47,212 INFO [sync_financials]   batch 116/145: 500 rows upserted (累計 58,000 / 72,490, 17.2秒)
2026-03-04 10:28:47,367 INFO [sync_financials]   batch 117/145: 500 rows upserted (累計 58,500 / 72,490, 17.3秒)
2026-03-04 10:28:47,507 INFO [sync_financials]   batch 118/145: 500 rows upserted (累計 59,000 / 72,490, 17.5秒)
2026-03-04 10:28:47,641 INFO [sync_financials]   batch 119/145: 500 rows upserted (累計 59,500 / 72,490, 17.6秒)
2026-03-04 10:28:47,777 INFO [sync_financials]   batch 120/145: 500 rows upserted (累計 60,000 / 72,490, 17.8秒)
2026-03-04 10:28:47,914 INFO [sync_financials]   batch 121/145: 500 rows upserted (累計 60,500 / 72,490, 17.9秒)
2026-03-04 10:28:48,050 INFO [sync_financials]   batch 122/145: 500 rows upserted (累計 61,000 / 72,490, 18.0秒)
2026-03-04 10:28:48,177 INFO [sync_financials]   batch 123/145: 500 rows upserted (累計 61,500 / 72,490, 18.2秒)
2026-03-04 10:28:48,306 INFO [sync_financials]   batch 124/145: 500 rows upserted (累計 62,000 / 72,490, 18.3秒)
2026-03-04 10:28:48,449 INFO [sync_financials]   batch 125/145: 500 rows upserted (累計 62,500 / 72,490, 18.4秒)
2026-03-04 10:28:48,581 INFO [sync_financials]   batch 126/145: 500 rows upserted (累計 63,000 / 72,490, 18.6秒)
2026-03-04 10:28:48,744 INFO [sync_financials]   batch 127/145: 500 rows upserted (累計 63,500 / 72,490, 18.7秒)
2026-03-04 10:28:48,874 INFO [sync_financials]   batch 128/145: 500 rows upserted (累計 64,000 / 72,490, 18.8秒)
2026-03-04 10:28:49,021 INFO [sync_financials]   batch 129/145: 500 rows upserted (累計 64,500 / 72,490, 19.0秒)
2026-03-04 10:28:49,178 INFO [sync_financials]   batch 130/145: 500 rows upserted (累計 65,000 / 72,490, 19.2秒)
2026-03-04 10:28:49,314 INFO [sync_financials]   batch 131/145: 500 rows upserted (累計 65,500 / 72,490, 19.3秒)
2026-03-04 10:28:49,489 INFO [sync_financials]   batch 132/145: 500 rows upserted (累計 66,000 / 72,490, 19.5秒)
2026-03-04 10:28:49,634 INFO [sync_financials]   batch 133/145: 500 rows upserted (累計 66,500 / 72,490, 19.6秒)
2026-03-04 10:28:49,772 INFO [sync_financials]   batch 134/145: 500 rows upserted (累計 67,000 / 72,490, 19.7秒)
2026-03-04 10:28:49,916 INFO [sync_financials]   batch 135/145: 500 rows upserted (累計 67,500 / 72,490, 19.9秒)
2026-03-04 10:28:50,077 INFO [sync_financials]   batch 136/145: 500 rows upserted (累計 68,000 / 72,490, 20.1秒)
2026-03-04 10:28:50,226 INFO [sync_financials]   batch 137/145: 500 rows upserted (累計 68,500 / 72,490, 20.2秒)
2026-03-04 10:28:50,390 INFO [sync_financials]   batch 138/145: 500 rows upserted (累計 69,000 / 72,490, 20.4秒)
2026-03-04 10:28:50,514 INFO [sync_financials]   batch 139/145: 500 rows upserted (累計 69,500 / 72,490, 20.5秒)
2026-03-04 10:28:50,655 INFO [sync_financials]   batch 140/145: 500 rows upserted (累計 70,000 / 72,490, 20.6秒)
2026-03-04 10:28:50,794 INFO [sync_financials]   batch 141/145: 500 rows upserted (累計 70,500 / 72,490, 20.8秒)
2026-03-04 10:28:50,928 INFO [sync_financials]   batch 142/145: 500 rows upserted (累計 71,000 / 72,490, 20.9秒)
2026-03-04 10:28:51,076 INFO [sync_financials]   batch 143/145: 500 rows upserted (累計 71,500 / 72,490, 21.0秒)
2026-03-04 10:28:51,233 INFO [sync_financials]   batch 144/145: 500 rows upserted (累計 72,000 / 72,490, 21.2秒)
2026-03-04 10:28:51,404 INFO [sync_financials]   batch 145/145: 490 rows upserted (累計 72,490 / 72,490, 21.4秒)
2026-03-04 10:28:51,405 INFO [sync_financials] [VERIFY] Supabase 側の検証中...
2026-03-04 10:28:51,814 INFO [sync_financials] [VERIFY] public.financials: 72,490 rows
2026-03-04 10:28:51,814 INFO [sync_financials] 
============================================================
  SYNC 完了
  upserted: 72,490 / 72,490
  errors:   0
  elapsed:  21.4秒
============================================================
2026-03-04 10:28:51,822 INFO [sync_financials] === sync_financials END (log: C:\Users\takuy\OneDrive\tdnet-excel-input\logs\sync_financials_apply_recent30d_20260304_102829.log) ===
