2026-03-11 15:19:17,790 INFO [sync_financials] === sync_financials START ===
2026-03-11 15:19:17,790 INFO [sync_financials]   mode:       APPLY (本番反映)
2026-03-11 15:19:17,790 INFO [sync_financials]   scope:      RECENT 30日
2026-03-11 15:19:17,790 INFO [sync_financials]   sqlite:     C:\Users\takuy\OneDrive\tdnet-excel-input\data\jquants.db
2026-03-11 15:19:17,791 INFO [sync_financials]   table:      financials
2026-03-11 15:19:17,791 INFO [sync_financials]   limit:      無制限
2026-03-11 15:19:17,791 INFO [sync_financials]   batch-size: 500
2026-03-11 15:19:17,791 INFO [sync_financials]   log:        C:\Users\takuy\OneDrive\tdnet-excel-input\logs\sync_financials_apply_recent30d_20260311_151917.log
2026-03-11 15:19:17,799 INFO [sync_financials] [SQLite] 生データ: 87,157 rows / 3,820 codes
2026-03-11 15:19:17,799 INFO [sync_financials] [SQLite] 差分モード: fetched_at >= 2026-02-09 15:19:17 (直近30日)
2026-03-11 15:19:18,389 INFO [sync_financials] [SQLite] 重複排除後: 72,490 rows
2026-03-11 15:19:18,397 INFO [sync_financials] [SYNC] quarter 分布: {"1Q": 17819, "2Q": 17771, "3Q": 17832, "4Q": 13, "FY": 19055}
2026-03-11 15:19:18,397 INFO [sync_financials] [SYNC] 開始: 72,490 rows → financials (145 batches × 500)
2026-03-11 15:19:19,745 INFO [sync_financials]   batch 1/145: 500 rows upserted (累計 500 / 72,490, 1.3秒)
2026-03-11 15:19:20,057 INFO [sync_financials]   batch 2/145: 500 rows upserted (累計 1,000 / 72,490, 1.7秒)
2026-03-11 15:19:20,499 INFO [sync_financials]   batch 3/145: 500 rows upserted (累計 1,500 / 72,490, 2.1秒)
2026-03-11 15:19:20,712 INFO [sync_financials]   batch 4/145: 500 rows upserted (累計 2,000 / 72,490, 2.3秒)
2026-03-11 15:19:20,927 INFO [sync_financials]   batch 5/145: 500 rows upserted (累計 2,500 / 72,490, 2.5秒)
2026-03-11 15:19:21,121 INFO [sync_financials]   batch 6/145: 500 rows upserted (累計 3,000 / 72,490, 2.7秒)
2026-03-11 15:19:21,306 INFO [sync_financials]   batch 7/145: 500 rows upserted (累計 3,500 / 72,490, 2.9秒)
2026-03-11 15:19:21,518 INFO [sync_financials]   batch 8/145: 500 rows upserted (累計 4,000 / 72,490, 3.1秒)
2026-03-11 15:19:21,764 INFO [sync_financials]   batch 9/145: 500 rows upserted (累計 4,500 / 72,490, 3.4秒)
2026-03-11 15:19:21,949 INFO [sync_financials]   batch 10/145: 500 rows upserted (累計 5,000 / 72,490, 3.6秒)
2026-03-11 15:19:22,168 INFO [sync_financials]   batch 11/145: 500 rows upserted (累計 5,500 / 72,490, 3.8秒)
2026-03-11 15:19:22,367 INFO [sync_financials]   batch 12/145: 500 rows upserted (累計 6,000 / 72,490, 4.0秒)
2026-03-11 15:19:22,599 INFO [sync_financials]   batch 13/145: 500 rows upserted (累計 6,500 / 72,490, 4.2秒)
2026-03-11 15:19:22,779 INFO [sync_financials]   batch 14/145: 500 rows upserted (累計 7,000 / 72,490, 4.4秒)
2026-03-11 15:19:22,972 INFO [sync_financials]   batch 15/145: 500 rows upserted (累計 7,500 / 72,490, 4.6秒)
2026-03-11 15:19:23,158 INFO [sync_financials]   batch 16/145: 500 rows upserted (累計 8,000 / 72,490, 4.8秒)
2026-03-11 15:19:23,319 INFO [sync_financials]   batch 17/145: 500 rows upserted (累計 8,500 / 72,490, 4.9秒)
2026-03-11 15:19:23,494 INFO [sync_financials]   batch 18/145: 500 rows upserted (累計 9,000 / 72,490, 5.1秒)
2026-03-11 15:19:23,668 INFO [sync_financials]   batch 19/145: 500 rows upserted (累計 9,500 / 72,490, 5.3秒)
2026-03-11 15:19:23,831 INFO [sync_financials]   batch 20/145: 500 rows upserted (累計 10,000 / 72,490, 5.4秒)
2026-03-11 15:19:23,990 INFO [sync_financials]   batch 21/145: 500 rows upserted (累計 10,500 / 72,490, 5.6秒)
2026-03-11 15:19:24,160 INFO [sync_financials]   batch 22/145: 500 rows upserted (累計 11,000 / 72,490, 5.8秒)
2026-03-11 15:19:24,329 INFO [sync_financials]   batch 23/145: 500 rows upserted (累計 11,500 / 72,490, 5.9秒)
2026-03-11 15:19:24,507 INFO [sync_financials]   batch 24/145: 500 rows upserted (累計 12,000 / 72,490, 6.1秒)
2026-03-11 15:19:24,724 INFO [sync_financials]   batch 25/145: 500 rows upserted (累計 12,500 / 72,490, 6.3秒)
2026-03-11 15:19:24,913 INFO [sync_financials]   batch 26/145: 500 rows upserted (累計 13,000 / 72,490, 6.5秒)
2026-03-11 15:19:25,077 INFO [sync_financials]   batch 27/145: 500 rows upserted (累計 13,500 / 72,490, 6.7秒)
2026-03-11 15:19:25,275 INFO [sync_financials]   batch 28/145: 500 rows upserted (累計 14,000 / 72,490, 6.9秒)
2026-03-11 15:19:25,461 INFO [sync_financials]   batch 29/145: 500 rows upserted (累計 14,500 / 72,490, 7.1秒)
2026-03-11 15:19:25,622 INFO [sync_financials]   batch 30/145: 500 rows upserted (累計 15,000 / 72,490, 7.2秒)
2026-03-11 15:19:25,789 INFO [sync_financials]   batch 31/145: 500 rows upserted (累計 15,500 / 72,490, 7.4秒)
2026-03-11 15:19:25,968 INFO [sync_financials]   batch 32/145: 500 rows upserted (累計 16,000 / 72,490, 7.6秒)
2026-03-11 15:19:26,114 INFO [sync_financials]   batch 33/145: 500 rows upserted (累計 16,500 / 72,490, 7.7秒)
2026-03-11 15:19:26,303 INFO [sync_financials]   batch 34/145: 500 rows upserted (累計 17,000 / 72,490, 7.9秒)
2026-03-11 15:19:26,489 INFO [sync_financials]   batch 35/145: 500 rows upserted (累計 17,500 / 72,490, 8.1秒)
2026-03-11 15:19:26,639 INFO [sync_financials]   batch 36/145: 500 rows upserted (累計 18,000 / 72,490, 8.2秒)
2026-03-11 15:19:26,823 INFO [sync_financials]   batch 37/145: 500 rows upserted (累計 18,500 / 72,490, 8.4秒)
2026-03-11 15:19:26,989 INFO [sync_financials]   batch 38/145: 500 rows upserted (累計 19,000 / 72,490, 8.6秒)
2026-03-11 15:19:27,154 INFO [sync_financials]   batch 39/145: 500 rows upserted (累計 19,500 / 72,490, 8.8秒)
2026-03-11 15:19:27,324 INFO [sync_financials]   batch 40/145: 500 rows upserted (累計 20,000 / 72,490, 8.9秒)
2026-03-11 15:19:27,489 INFO [sync_financials]   batch 41/145: 500 rows upserted (累計 20,500 / 72,490, 9.1秒)
2026-03-11 15:19:27,688 INFO [sync_financials]   batch 42/145: 500 rows upserted (累計 21,000 / 72,490, 9.3秒)
2026-03-11 15:19:27,881 INFO [sync_financials]   batch 43/145: 500 rows upserted (累計 21,500 / 72,490, 9.5秒)
2026-03-11 15:19:28,964 INFO [sync_financials]   batch 44/145: 500 rows upserted (累計 22,000 / 72,490, 10.6秒)
2026-03-11 15:19:30,400 INFO [sync_financials]   batch 45/145: 500 rows upserted (累計 22,500 / 72,490, 12.0秒)
2026-03-11 15:19:30,597 INFO [sync_financials]   batch 46/145: 500 rows upserted (累計 23,000 / 72,490, 12.2秒)
2026-03-11 15:19:30,945 INFO [sync_financials]   batch 47/145: 500 rows upserted (累計 23,500 / 72,490, 12.5秒)
2026-03-11 15:19:31,138 INFO [sync_financials]   batch 48/145: 500 rows upserted (累計 24,000 / 72,490, 12.7秒)
2026-03-11 15:19:31,333 INFO [sync_financials]   batch 49/145: 500 rows upserted (累計 24,500 / 72,490, 12.9秒)
2026-03-11 15:19:31,504 INFO [sync_financials]   batch 50/145: 500 rows upserted (累計 25,000 / 72,490, 13.1秒)
2026-03-11 15:19:31,681 INFO [sync_financials]   batch 51/145: 500 rows upserted (累計 25,500 / 72,490, 13.3秒)
2026-03-11 15:19:31,847 INFO [sync_financials]   batch 52/145: 500 rows upserted (累計 26,000 / 72,490, 13.5秒)
2026-03-11 15:19:32,015 INFO [sync_financials]   batch 53/145: 500 rows upserted (累計 26,500 / 72,490, 13.6秒)
2026-03-11 15:19:32,209 INFO [sync_financials]   batch 54/145: 500 rows upserted (累計 27,000 / 72,490, 13.8秒)
2026-03-11 15:19:32,388 INFO [sync_financials]   batch 55/145: 500 rows upserted (累計 27,500 / 72,490, 14.0秒)
2026-03-11 15:19:32,576 INFO [sync_financials]   batch 56/145: 500 rows upserted (累計 28,000 / 72,490, 14.2秒)
2026-03-11 15:19:32,754 INFO [sync_financials]   batch 57/145: 500 rows upserted (累計 28,500 / 72,490, 14.4秒)
2026-03-11 15:19:32,908 INFO [sync_financials]   batch 58/145: 500 rows upserted (累計 29,000 / 72,490, 14.5秒)
2026-03-11 15:19:33,077 INFO [sync_financials]   batch 59/145: 500 rows upserted (累計 29,500 / 72,490, 14.7秒)
2026-03-11 15:19:33,234 INFO [sync_financials]   batch 60/145: 500 rows upserted (累計 30,000 / 72,490, 14.8秒)
2026-03-11 15:19:33,389 INFO [sync_financials]   batch 61/145: 500 rows upserted (累計 30,500 / 72,490, 15.0秒)
2026-03-11 15:19:33,549 INFO [sync_financials]   batch 62/145: 500 rows upserted (累計 31,000 / 72,490, 15.2秒)
2026-03-11 15:19:33,718 INFO [sync_financials]   batch 63/145: 500 rows upserted (累計 31,500 / 72,490, 15.3秒)
2026-03-11 15:19:33,872 INFO [sync_financials]   batch 64/145: 500 rows upserted (累計 32,000 / 72,490, 15.5秒)
2026-03-11 15:19:34,048 INFO [sync_financials]   batch 65/145: 500 rows upserted (累計 32,500 / 72,490, 15.7秒)
2026-03-11 15:19:34,216 INFO [sync_financials]   batch 66/145: 500 rows upserted (累計 33,000 / 72,490, 15.8秒)
2026-03-11 15:19:34,390 INFO [sync_financials]   batch 67/145: 500 rows upserted (累計 33,500 / 72,490, 16.0秒)
2026-03-11 15:19:34,562 INFO [sync_financials]   batch 68/145: 500 rows upserted (累計 34,000 / 72,490, 16.2秒)
2026-03-11 15:19:34,730 INFO [sync_financials]   batch 69/145: 500 rows upserted (累計 34,500 / 72,490, 16.3秒)
2026-03-11 15:19:34,884 INFO [sync_financials]   batch 70/145: 500 rows upserted (累計 35,000 / 72,490, 16.5秒)
2026-03-11 15:19:35,050 INFO [sync_financials]   batch 71/145: 500 rows upserted (累計 35,500 / 72,490, 16.7秒)
2026-03-11 15:19:35,230 INFO [sync_financials]   batch 72/145: 500 rows upserted (累計 36,000 / 72,490, 16.8秒)
2026-03-11 15:19:35,374 INFO [sync_financials]   batch 73/145: 500 rows upserted (累計 36,500 / 72,490, 17.0秒)
2026-03-11 15:19:35,547 INFO [sync_financials]   batch 74/145: 500 rows upserted (累計 37,000 / 72,490, 17.2秒)
2026-03-11 15:19:35,727 INFO [sync_financials]   batch 75/145: 500 rows upserted (累計 37,500 / 72,490, 17.3秒)
2026-03-11 15:19:35,878 INFO [sync_financials]   batch 76/145: 500 rows upserted (累計 38,000 / 72,490, 17.5秒)
2026-03-11 15:19:36,043 INFO [sync_financials]   batch 77/145: 500 rows upserted (累計 38,500 / 72,490, 17.6秒)
2026-03-11 15:19:36,193 INFO [sync_financials]   batch 78/145: 500 rows upserted (累計 39,000 / 72,490, 17.8秒)
2026-03-11 15:19:36,368 INFO [sync_financials]   batch 79/145: 500 rows upserted (累計 39,500 / 72,490, 18.0秒)
2026-03-11 15:19:36,569 INFO [sync_financials]   batch 80/145: 500 rows upserted (累計 40,000 / 72,490, 18.2秒)
2026-03-11 15:19:36,743 INFO [sync_financials]   batch 81/145: 500 rows upserted (累計 40,500 / 72,490, 18.3秒)
2026-03-11 15:19:36,893 INFO [sync_financials]   batch 82/145: 500 rows upserted (累計 41,000 / 72,490, 18.5秒)
2026-03-11 15:19:37,081 INFO [sync_financials]   batch 83/145: 500 rows upserted (累計 41,500 / 72,490, 18.7秒)
2026-03-11 15:19:37,254 INFO [sync_financials]   batch 84/145: 500 rows upserted (累計 42,000 / 72,490, 18.9秒)
2026-03-11 15:19:37,435 INFO [sync_financials]   batch 85/145: 500 rows upserted (累計 42,500 / 72,490, 19.0秒)
2026-03-11 15:19:37,600 INFO [sync_financials]   batch 86/145: 500 rows upserted (累計 43,000 / 72,490, 19.2秒)
2026-03-11 15:19:37,760 INFO [sync_financials]   batch 87/145: 500 rows upserted (累計 43,500 / 72,490, 19.4秒)
2026-03-11 15:19:37,933 INFO [sync_financials]   batch 88/145: 500 rows upserted (累計 44,000 / 72,490, 19.5秒)
2026-03-11 15:19:38,121 INFO [sync_financials]   batch 89/145: 500 rows upserted (累計 44,500 / 72,490, 19.7秒)
2026-03-11 15:19:38,267 INFO [sync_financials]   batch 90/145: 500 rows upserted (累計 45,000 / 72,490, 19.9秒)
2026-03-11 15:19:38,417 INFO [sync_financials]   batch 91/145: 500 rows upserted (累計 45,500 / 72,490, 20.0秒)
2026-03-11 15:19:38,598 INFO [sync_financials]   batch 92/145: 500 rows upserted (累計 46,000 / 72,490, 20.2秒)
2026-03-11 15:19:38,773 INFO [sync_financials]   batch 93/145: 500 rows upserted (累計 46,500 / 72,490, 20.4秒)
2026-03-11 15:19:38,929 INFO [sync_financials]   batch 94/145: 500 rows upserted (累計 47,000 / 72,490, 20.5秒)
2026-03-11 15:19:39,079 INFO [sync_financials]   batch 95/145: 500 rows upserted (累計 47,500 / 72,490, 20.7秒)
2026-03-11 15:19:39,239 INFO [sync_financials]   batch 96/145: 500 rows upserted (累計 48,000 / 72,490, 20.8秒)
2026-03-11 15:19:39,414 INFO [sync_financials]   batch 97/145: 500 rows upserted (累計 48,500 / 72,490, 21.0秒)
