ticker,disclosure_date,title,reason
9338,2026-02-13,2025年12月期 通期決算説明資料,excluded_presentation
146A0,2026-02-13,2025年12月期通期決算概要（補足テキスト）,excluded_non_earnings_summary
1878,2026-02-13,（訂正・数値データ訂正）「2026年３月期 第３四半期決算短信〔日本基準〕（連結）」（公認会計士等による期中レビューの完了及び一部訂正）,excluded_correction
9211,2026-02-13,2025年12月期 通期 決算説明資料 （事業計画及び成長可能性に関する事項）,excluded_presentation
5028,2026-02-13,2025年12月期 通期決算説明資料,excluded_presentation
7080,2026-02-13,2025年12月期　通期決算説明資料,excluded_presentation
3416,2026-02-13,2025年12月期 通期決算説明資料,excluded_presentation
421A0,2026-02-13,2025年12月期 通期決算説明資料,excluded_presentation
2492,2026-02-13,2025年12月期 第4四半期・通期決算説明資料,excluded_presentation
286A0,2026-02-13,2025年12月期 通期決算説明資料_事業計画及び成長可能性資料,excluded_presentation
4019,2026-02-13,2025年12月期　通期決算説明資料（事業計画及び成長可能性に関する事項）,excluded_presentation
4415,2026-02-13,2025年12月期 通期決算説明書き起こし,excluded_non_earnings_summary
4448,2026-02-13,2025年12月期 通期決算説明資料,excluded_presentation
4493,2026-02-13,2025年12月期 通期 決算説明資料,excluded_presentation
485A0,2026-02-13,2025年12期通期　決算説明資料,excluded_presentation
4935,2026-02-13,2025年12月期通期決算説明資料,excluded_presentation
7043,2026-02-13,2025年12月期通期決算説明資料,excluded_presentation
9218,2026-02-13,2025年12月期通期決算説明資料,excluded_presentation
9246,2026-02-13,2025年12月期 通期 決算説明資料,excluded_presentation
6637,2026-02-13,2026年３月期　第３四半期決算短信補足資料,excluded_presentation
2931,2026-02-13,2025年12月期通期決算説明および今後の展望,excluded_non_earnings_summary
4301,2026-02-13,2026年３月期 第３四半期決算短信　補足資料（連結）,excluded_presentation
5257,2026-02-13,2025年12月期 通期決算説明資料（訂正版）,excluded_correction
5257,2026-02-13,（訂正）「2025年12月期 通期決算説明資料」の訂正について,excluded_correction
6071,2026-02-13,2025年12月期通期決算説明資料,excluded_presentation
4392,2026-02-13,2025年12月期通期決算補足資料,excluded_presentation
6227,2026-02-13,2026年６月期 第２四半期（中間期）決算短信補足説明資料,excluded_presentation
262A0,2026-02-13,2025年12月期　通期　決算説明資料,excluded_presentation
479A0,2026-02-13,2025年12月期通期決算説明資料,excluded_presentation
145A0,2026-02-13,2025年 12月期 通期 決算説明資料,excluded_presentation
149A0,2026-02-13,2025年12月期 通期決算説明資料（事業計画及び成長可能性に関する事項）,excluded_presentation
153A0,2026-02-13,2025年12月期　通期決算説明資料,excluded_presentation
155A0,2026-02-13,2025年12月期　通期決算説明資料,excluded_presentation
2428,2026-02-13,（訂正・数値データ訂正）「2026年６月期第２四半期（中間期）決算短信〔日本基準〕（非連結）」の一部訂正に関するお知らせ,excluded_correction
2579,2026-02-13,2025年 通期 決算説明会,excluded_non_earnings_summary
290A0,2026-02-13,2025年12月期通期決算説明資料,excluded_presentation
3680,2026-02-13,2025年12月期 通期決算短信補足資料,excluded_presentation
3694,2026-02-13,2026年3月期 第3四半期決算短信 補足説明資料,excluded_presentation
3911,2026-02-13,2025年12月期通期決算説明及び事業計画並びに成長可能性に関する資料,excluded_non_earnings_summary
3976,2026-02-13,2025年12月期 通期決算補足説明資料,excluded_presentation
3983,2026-02-13,2025年12月期 通期決算説明資料,excluded_presentation
4011,2026-02-13,2025年12月期 決算短信補足資料,excluded_presentation
4056,2026-02-13,2025年12月期 通期決算説明資料,excluded_presentation
4166,2026-02-13,2025年12月期 通期 決算説明資料,excluded_presentation
4170,2026-02-13,2025年12月期 通期 決算説明資料 （事業計画及び成長可能性に関する事項）,excluded_presentation
4180,2026-02-13,2025年12月期通期 決算説明資料,excluded_presentation
4255,2026-02-13,2025年12月期通期決算説明会資料,excluded_non_earnings_summary
4436,2026-02-13,2026年３月期第３四半期決算短信 補足説明資料,excluded_presentation
4480,2026-02-13,2025年12月期 通期決算説明資料,excluded_presentation
4576,2026-02-13,2025年12月期　通期決算説明資料,excluded_presentation
5027,2026-02-13,2025年12月期 第4四半期及び通期決算説明会資料,excluded_non_earnings_summary
5027,2026-02-13,2025年12月期第4四半期及び通期決算において想定されるご質問への回答,excluded_non_earnings_summary
5126,2026-02-13,2025年12月期 通期 決算説明補足資料,excluded_presentation
5242,2026-02-13,2025年12月期 通期決算説明資料,excluded_presentation
5588,2026-02-13,2025年12月期 第4四半期および通期決算説明資料,excluded_presentation
5591,2026-02-13,2025年12月期 通期決算説明資料,excluded_presentation
6029,2026-02-13,2025年12月期 決算短信補足資料,excluded_presentation
6232,2026-02-13,2025年12月期　通期決算説明資料,excluded_presentation
6540,2026-02-13,2025年12月期 通期決算説明資料,excluded_presentation
7038,2026-02-13,2025年12月期 通期決算説明資料,excluded_presentation
7044,2026-02-13,2025年12月期 通期決算補足資料,excluded_presentation
7354,2026-02-13,2025年12月期通期決算説明資料,excluded_presentation
8040,2026-02-13,2025年12月期 通期 決算説明資料,excluded_presentation
4019,2026-02-16,2025年12月期 通期決算説明会動画および書き起こし公開のお知らせ,excluded_non_earnings_summary
3350,2026-02-16,2025年12月期　通期決算説明資料,excluded_presentation
2788,2026-02-16,(訂正)「2025 年12 月期決算短信〔日本基準〕（連結）」の一部訂正に関するお知らせ,excluded_correction
5216,2026-02-16,2025年12月期通期決算説明資料,excluded_presentation
4811,2026-02-16,（訂正）「2025年12月期 通期決算説明資料（事業計画及び成長可能性に関する事項）」の一部訂正について,excluded_correction
5242,2026-02-16,2025年12月期 通期決算説明会の質疑応答（要旨）,excluded_non_earnings_summary
7033,2026-02-16,2025年12月期 通期 決算説明資料,excluded_presentation
2137,2026-02-16,（訂正・数値データ訂正）2026年３月期　第３四半期決算短信〔日本基準〕（非連結）,excluded_correction
4375,2026-02-16,2025年12月期通期決算説明資料（スマホ向けサマリ版）,excluded_presentation
2492,2026-02-16,（訂正）「2025年12月期 決算短信〔日本基準〕（連結）」の一部訂正について,excluded_correction
8594,2026-02-16,（訂正）「2025年12月期　決算短信〔日本基準〕(非連結)」の一部訂正について,excluded_correction
478A0,2026-02-17,2025年12月期 通期決算説明会 Q&A公開に関するお知らせ,excluded_non_earnings_summary
154A0,2026-02-17,（訂正）「2025年12月期決算短信〔日本基準〕(非連結)」の一部訂正に関するお知らせ,excluded_correction
2585,2026-02-17,(訂正・数値データ訂正)「2026年３月期 第３四半期決算短信〔日本基準〕（連結）」の一部訂正について,excluded_correction
4596,2026-02-17,2025年12月期 通期決算説明資料,excluded_presentation
9419,2026-02-17,（訂正）「2025年12月期 通期決算説明資料」の一部訂正について,excluded_correction
6497,2026-02-17,（訂正）「2025年12月期 決算短信〔日本基準〕（連結）」の一部訂正について,excluded_correction
4995,2026-02-17,（訂正・数値データ訂正）「2025年11月期　決算短信〔日本基準〕（連結）」の一部訂正に関するお知らせ,excluded_correction
4375,2026-02-18,（訂正）「2025年12月期 通期決算説明資料」の一部訂正について,excluded_correction
3623,2026-02-19,2025年12月期通期決算説明資料,excluded_presentation
421A0,2026-02-19,2025年12月期 通期決算説明会書き起こし,excluded_non_earnings_summary
421A0,2026-02-19,2025年12月期 通期決算説明会Q&A書き起こし,excluded_non_earnings_summary
3753,2026-02-19,（訂正・数値データ訂正）「2026年３月期第３四半期決算短信〔日本基準〕（非連結）」 の一部訂正について,excluded_correction
4419,2026-02-19,(訂正・数値データ訂正)「2026年３月期 第３四半期決算短信〔日本基準〕（連結）」の一部訂正について,excluded_correction
7625,2026-02-19,2025年12月期通期 決算説明会資料,excluded_non_earnings_summary
1718,2026-02-19,（訂正・数値データ訂正）「2025 年12 月期 決算短信〔日本基準〕（連結）」の一部訂正について,excluded_correction
6440,2026-02-20,(訂正・数値データ訂正)「2025年12月期 決算短信 〔日本基準〕（連結）」の一部訂正について,excluded_correction
146A0,2026-02-20,2025年12月期通期決算説明会（書き起こし）,excluded_non_earnings_summary
4633,2026-02-20,(訂正・数値データ訂正)「2025年12月期 決算短信〔日本基準〕（連結）」の一部訂正について,excluded_correction
3976,2026-02-20,2025年12月期 通期決算説明資料（スマホ向けサマリ版）,excluded_presentation
3976,2026-02-20,2025年12月期 通期決算説明資料（テキスト詳細版）,excluded_presentation
