2026-03-06 15:32:00,133 INFO [sync_financials] === sync_financials START ===
2026-03-06 15:32:00,133 INFO [sync_financials]   mode:       APPLY (本番反映)
2026-03-06 15:32:00,133 INFO [sync_financials]   scope:      RECENT 30日
2026-03-06 15:32:00,133 INFO [sync_financials]   sqlite:     C:\Users\takuy\OneDrive\tdnet-excel-input\data\jquants.db
2026-03-06 15:32:00,133 INFO [sync_financials]   table:      financials
2026-03-06 15:32:00,133 INFO [sync_financials]   limit:      無制限
2026-03-06 15:32:00,133 INFO [sync_financials]   batch-size: 500
2026-03-06 15:32:00,133 INFO [sync_financials]   log:        C:\Users\takuy\OneDrive\tdnet-excel-input\logs\sync_financials_apply_recent30d_20260306_153200.log
2026-03-06 15:32:00,252 INFO [sync_financials] [SQLite] 生データ: 87,157 rows / 3,820 codes
2026-03-06 15:32:00,253 INFO [sync_financials] [SQLite] 差分モード: fetched_at >= 2026-02-04 15:32:00 (直近30日)
2026-03-06 15:32:04,673 INFO [sync_financials] [SQLite] 重複排除後: 72,490 rows
2026-03-06 15:32:04,680 INFO [sync_financials] [SYNC] quarter 分布: {"1Q": 17819, "2Q": 17771, "3Q": 17832, "4Q": 13, "FY": 19055}
2026-03-06 15:32:04,680 INFO [sync_financials] [SYNC] 開始: 72,490 rows → financials (145 batches × 500)
2026-03-06 15:32:04,960 INFO [sync_financials]   batch 1/145: 500 rows upserted (累計 500 / 72,490, 0.3秒)
2026-03-06 15:32:05,190 INFO [sync_financials]   batch 2/145: 500 rows upserted (累計 1,000 / 72,490, 0.5秒)
2026-03-06 15:32:05,382 INFO [sync_financials]   batch 3/145: 500 rows upserted (累計 1,500 / 72,490, 0.7秒)
2026-03-06 15:32:05,570 INFO [sync_financials]   batch 4/145: 500 rows upserted (累計 2,000 / 72,490, 0.9秒)
2026-03-06 15:32:05,747 INFO [sync_financials]   batch 5/145: 500 rows upserted (累計 2,500 / 72,490, 1.1秒)
2026-03-06 15:32:05,910 INFO [sync_financials]   batch 6/145: 500 rows upserted (累計 3,000 / 72,490, 1.2秒)
2026-03-06 15:32:06,071 INFO [sync_financials]   batch 7/145: 500 rows upserted (累計 3,500 / 72,490, 1.4秒)
2026-03-06 15:32:06,218 INFO [sync_financials]   batch 8/145: 500 rows upserted (累計 4,000 / 72,490, 1.5秒)
2026-03-06 15:32:06,392 INFO [sync_financials]   batch 9/145: 500 rows upserted (累計 4,500 / 72,490, 1.7秒)
2026-03-06 15:32:06,558 INFO [sync_financials]   batch 10/145: 500 rows upserted (累計 5,000 / 72,490, 1.9秒)
2026-03-06 15:32:06,722 INFO [sync_financials]   batch 11/145: 500 rows upserted (累計 5,500 / 72,490, 2.0秒)
2026-03-06 15:32:06,906 INFO [sync_financials]   batch 12/145: 500 rows upserted (累計 6,000 / 72,490, 2.2秒)
2026-03-06 15:32:07,071 INFO [sync_financials]   batch 13/145: 500 rows upserted (累計 6,500 / 72,490, 2.4秒)
2026-03-06 15:32:07,221 INFO [sync_financials]   batch 14/145: 500 rows upserted (累計 7,000 / 72,490, 2.5秒)
2026-03-06 15:32:07,384 INFO [sync_financials]   batch 15/145: 500 rows upserted (累計 7,500 / 72,490, 2.7秒)
2026-03-06 15:32:07,530 INFO [sync_financials]   batch 16/145: 500 rows upserted (累計 8,000 / 72,490, 2.8秒)
2026-03-06 15:32:07,676 INFO [sync_financials]   batch 17/145: 500 rows upserted (累計 8,500 / 72,490, 3.0秒)
2026-03-06 15:32:07,807 INFO [sync_financials]   batch 18/145: 500 rows upserted (累計 9,000 / 72,490, 3.1秒)
2026-03-06 15:32:07,958 INFO [sync_financials]   batch 19/145: 500 rows upserted (累計 9,500 / 72,490, 3.3秒)
2026-03-06 15:32:08,089 INFO [sync_financials]   batch 20/145: 500 rows upserted (累計 10,000 / 72,490, 3.4秒)
2026-03-06 15:32:08,247 INFO [sync_financials]   batch 21/145: 500 rows upserted (累計 10,500 / 72,490, 3.6秒)
2026-03-06 15:32:08,400 INFO [sync_financials]   batch 22/145: 500 rows upserted (累計 11,000 / 72,490, 3.7秒)
2026-03-06 15:32:08,548 INFO [sync_financials]   batch 23/145: 500 rows upserted (累計 11,500 / 72,490, 3.9秒)
2026-03-06 15:32:08,682 INFO [sync_financials]   batch 24/145: 500 rows upserted (累計 12,000 / 72,490, 4.0秒)
2026-03-06 15:32:08,815 INFO [sync_financials]   batch 25/145: 500 rows upserted (累計 12,500 / 72,490, 4.1秒)
2026-03-06 15:32:08,954 INFO [sync_financials]   batch 26/145: 500 rows upserted (累計 13,000 / 72,490, 4.3秒)
2026-03-06 15:32:09,090 INFO [sync_financials]   batch 27/145: 500 rows upserted (累計 13,500 / 72,490, 4.4秒)
2026-03-06 15:32:09,217 INFO [sync_financials]   batch 28/145: 500 rows upserted (累計 14,000 / 72,490, 4.5秒)
2026-03-06 15:32:09,348 INFO [sync_financials]   batch 29/145: 500 rows upserted (累計 14,500 / 72,490, 4.7秒)
2026-03-06 15:32:09,494 INFO [sync_financials]   batch 30/145: 500 rows upserted (累計 15,000 / 72,490, 4.8秒)
2026-03-06 15:32:09,621 INFO [sync_financials]   batch 31/145: 500 rows upserted (累計 15,500 / 72,490, 4.9秒)
2026-03-06 15:32:09,758 INFO [sync_financials]   batch 32/145: 500 rows upserted (累計 16,000 / 72,490, 5.1秒)
2026-03-06 15:32:09,898 INFO [sync_financials]   batch 33/145: 500 rows upserted (累計 16,500 / 72,490, 5.2秒)
2026-03-06 15:32:10,034 INFO [sync_financials]   batch 34/145: 500 rows upserted (累計 17,000 / 72,490, 5.4秒)
