2026-03-03 20:26:59,139 INFO [sync_financials] === sync_financials START ===
2026-03-03 20:26:59,139 INFO [sync_financials]   mode:       APPLY (本番反映)
2026-03-03 20:26:59,139 INFO [sync_financials]   scope:      RECENT 30日
2026-03-03 20:26:59,139 INFO [sync_financials]   sqlite:     C:\Users\takuy\OneDrive\tdnet-excel-input\data\jquants.db
2026-03-03 20:26:59,139 INFO [sync_financials]   table:      financials
2026-03-03 20:26:59,139 INFO [sync_financials]   limit:      無制限
2026-03-03 20:26:59,139 INFO [sync_financials]   batch-size: 500
2026-03-03 20:26:59,139 INFO [sync_financials]   log:        C:\Users\takuy\OneDrive\tdnet-excel-input\logs\sync_financials_apply_recent30d_20260303_202659.log
2026-03-03 20:26:59,149 INFO [sync_financials] [SQLite] 生データ: 87,157 rows / 3,820 codes
2026-03-03 20:26:59,149 INFO [sync_financials] [SQLite] 差分モード: fetched_at >= 2026-02-01 20:26:59 (直近30日)
2026-03-03 20:26:59,516 INFO [sync_financials] [SQLite] 重複排除後: 72,490 rows
2026-03-03 20:26:59,522 INFO [sync_financials] [SYNC] quarter 分布: {"1Q": 17819, "2Q": 17771, "3Q": 17832, "4Q": 13, "FY": 19055}
2026-03-03 20:26:59,522 INFO [sync_financials] [SYNC] 開始: 72,490 rows → financials (145 batches × 500)
2026-03-03 20:26:59,730 INFO [sync_financials]   batch 1/145: 500 rows upserted (累計 500 / 72,490, 0.2秒)
2026-03-03 20:26:59,881 INFO [sync_financials]   batch 2/145: 500 rows upserted (累計 1,000 / 72,490, 0.4秒)
2026-03-03 20:27:00,036 INFO [sync_financials]   batch 3/145: 500 rows upserted (累計 1,500 / 72,490, 0.5秒)
2026-03-03 20:27:00,193 INFO [sync_financials]   batch 4/145: 500 rows upserted (累計 2,000 / 72,490, 0.7秒)
2026-03-03 20:27:00,340 INFO [sync_financials]   batch 5/145: 500 rows upserted (累計 2,500 / 72,490, 0.8秒)
2026-03-03 20:27:00,497 INFO [sync_financials]   batch 6/145: 500 rows upserted (累計 3,000 / 72,490, 1.0秒)
2026-03-03 20:27:00,636 INFO [sync_financials]   batch 7/145: 500 rows upserted (累計 3,500 / 72,490, 1.1秒)
2026-03-03 20:27:00,781 INFO [sync_financials]   batch 8/145: 500 rows upserted (累計 4,000 / 72,490, 1.3秒)
2026-03-03 20:27:00,914 INFO [sync_financials]   batch 9/145: 500 rows upserted (累計 4,500 / 72,490, 1.4秒)
2026-03-03 20:27:01,078 INFO [sync_financials]   batch 10/145: 500 rows upserted (累計 5,000 / 72,490, 1.6秒)
2026-03-03 20:27:01,219 INFO [sync_financials]   batch 11/145: 500 rows upserted (累計 5,500 / 72,490, 1.7秒)
2026-03-03 20:27:01,378 INFO [sync_financials]   batch 12/145: 500 rows upserted (累計 6,000 / 72,490, 1.9秒)
