2026-03-07 10:27:13,047 INFO [sync_financials] === sync_financials START ===
2026-03-07 10:27:13,047 INFO [sync_financials]   mode:       APPLY (本番反映)
2026-03-07 10:27:13,047 INFO [sync_financials]   scope:      RECENT 30日
2026-03-07 10:27:13,047 INFO [sync_financials]   sqlite:     C:\Users\takuy\OneDrive\tdnet-excel-input\data\jquants.db
2026-03-07 10:27:13,047 INFO [sync_financials]   table:      financials
2026-03-07 10:27:13,047 INFO [sync_financials]   limit:      無制限
2026-03-07 10:27:13,047 INFO [sync_financials]   batch-size: 500
2026-03-07 10:27:13,048 INFO [sync_financials]   log:        C:\Users\takuy\OneDrive\tdnet-excel-input\logs\sync_financials_apply_recent30d_20260307_102713.log
2026-03-07 10:27:13,131 INFO [sync_financials] [SQLite] 生データ: 87,157 rows / 3,820 codes
2026-03-07 10:27:13,131 INFO [sync_financials] [SQLite] 差分モード: fetched_at >= 2026-02-05 10:27:13 (直近30日)
2026-03-07 10:27:13,597 INFO [sync_financials] [SQLite] 重複排除後: 72,490 rows
2026-03-07 10:27:13,603 INFO [sync_financials] [SYNC] quarter 分布: {"1Q": 17819, "2Q": 17771, "3Q": 17832, "4Q": 13, "FY": 19055}
2026-03-07 10:27:13,604 INFO [sync_financials] [SYNC] 開始: 72,490 rows → financials (145 batches × 500)
2026-03-07 10:27:13,875 INFO [sync_financials]   batch 1/145: 500 rows upserted (累計 500 / 72,490, 0.3秒)
2026-03-07 10:27:14,036 INFO [sync_financials]   batch 2/145: 500 rows upserted (累計 1,000 / 72,490, 0.4秒)
2026-03-07 10:27:14,204 INFO [sync_financials]   batch 3/145: 500 rows upserted (累計 1,500 / 72,490, 0.6秒)
2026-03-07 10:27:14,363 INFO [sync_financials]   batch 4/145: 500 rows upserted (累計 2,000 / 72,490, 0.8秒)
2026-03-07 10:27:14,526 INFO [sync_financials]   batch 5/145: 500 rows upserted (累計 2,500 / 72,490, 0.9秒)
2026-03-07 10:27:14,668 INFO [sync_financials]   batch 6/145: 500 rows upserted (累計 3,000 / 72,490, 1.1秒)
2026-03-07 10:27:14,844 INFO [sync_financials]   batch 7/145: 500 rows upserted (累計 3,500 / 72,490, 1.2秒)
2026-03-07 10:27:14,998 INFO [sync_financials]   batch 8/145: 500 rows upserted (累計 4,000 / 72,490, 1.4秒)
2026-03-07 10:27:15,147 INFO [sync_financials]   batch 9/145: 500 rows upserted (累計 4,500 / 72,490, 1.5秒)
2026-03-07 10:27:15,284 INFO [sync_financials]   batch 10/145: 500 rows upserted (累計 5,000 / 72,490, 1.7秒)
2026-03-07 10:27:15,424 INFO [sync_financials]   batch 11/145: 500 rows upserted (累計 5,500 / 72,490, 1.8秒)
2026-03-07 10:27:15,563 INFO [sync_financials]   batch 12/145: 500 rows upserted (累計 6,000 / 72,490, 2.0秒)
2026-03-07 10:27:15,710 INFO [sync_financials]   batch 13/145: 500 rows upserted (累計 6,500 / 72,490, 2.1秒)
2026-03-07 10:27:15,871 INFO [sync_financials]   batch 14/145: 500 rows upserted (累計 7,000 / 72,490, 2.3秒)
2026-03-07 10:27:16,019 INFO [sync_financials]   batch 15/145: 500 rows upserted (累計 7,500 / 72,490, 2.4秒)
2026-03-07 10:27:16,176 INFO [sync_financials]   batch 16/145: 500 rows upserted (累計 8,000 / 72,490, 2.6秒)
2026-03-07 10:27:16,335 INFO [sync_financials]   batch 17/145: 500 rows upserted (累計 8,500 / 72,490, 2.7秒)
2026-03-07 10:27:16,470 INFO [sync_financials]   batch 18/145: 500 rows upserted (累計 9,000 / 72,490, 2.9秒)
2026-03-07 10:27:16,614 INFO [sync_financials]   batch 19/145: 500 rows upserted (累計 9,500 / 72,490, 3.0秒)
2026-03-07 10:27:16,740 INFO [sync_financials]   batch 20/145: 500 rows upserted (累計 10,000 / 72,490, 3.1秒)
2026-03-07 10:27:16,870 INFO [sync_financials]   batch 21/145: 500 rows upserted (累計 10,500 / 72,490, 3.3秒)
2026-03-07 10:27:16,998 INFO [sync_financials]   batch 22/145: 500 rows upserted (累計 11,000 / 72,490, 3.4秒)
2026-03-07 10:27:17,152 INFO [sync_financials]   batch 23/145: 500 rows upserted (累計 11,500 / 72,490, 3.5秒)
2026-03-07 10:27:17,288 INFO [sync_financials]   batch 24/145: 500 rows upserted (累計 12,000 / 72,490, 3.7秒)
2026-03-07 10:27:17,421 INFO [sync_financials]   batch 25/145: 500 rows upserted (累計 12,500 / 72,490, 3.8秒)
