2026-03-04 15:31:32,170 INFO [sync_financials] === sync_financials START ===
2026-03-04 15:31:32,170 INFO [sync_financials]   mode:       APPLY (本番反映)
2026-03-04 15:31:32,170 INFO [sync_financials]   scope:      RECENT 30日
2026-03-04 15:31:32,170 INFO [sync_financials]   sqlite:     C:\Users\takuy\OneDrive\tdnet-excel-input\data\jquants.db
2026-03-04 15:31:32,170 INFO [sync_financials]   table:      financials
2026-03-04 15:31:32,170 INFO [sync_financials]   limit:      無制限
2026-03-04 15:31:32,170 INFO [sync_financials]   batch-size: 500
2026-03-04 15:31:32,171 INFO [sync_financials]   log:        C:\Users\takuy\OneDrive\tdnet-excel-input\logs\sync_financials_apply_recent30d_20260304_153132.log
2026-03-04 15:31:32,182 INFO [sync_financials] [SQLite] 生データ: 87,157 rows / 3,820 codes
2026-03-04 15:31:32,182 INFO [sync_financials] [SQLite] 差分モード: fetched_at >= 2026-02-02 15:31:32 (直近30日)
2026-03-04 15:31:32,564 INFO [sync_financials] [SQLite] 重複排除後: 72,490 rows
2026-03-04 15:31:32,571 INFO [sync_financials] [SYNC] quarter 分布: {"1Q": 17819, "2Q": 17771, "3Q": 17832, "4Q": 13, "FY": 19055}
2026-03-04 15:31:32,571 INFO [sync_financials] [SYNC] 開始: 72,490 rows → financials (145 batches × 500)
2026-03-04 15:31:32,914 INFO [sync_financials]   batch 1/145: 500 rows upserted (累計 500 / 72,490, 0.3秒)
2026-03-04 15:31:33,090 INFO [sync_financials]   batch 2/145: 500 rows upserted (累計 1,000 / 72,490, 0.5秒)
2026-03-04 15:31:33,258 INFO [sync_financials]   batch 3/145: 500 rows upserted (累計 1,500 / 72,490, 0.7秒)
2026-03-04 15:31:33,442 INFO [sync_financials]   batch 4/145: 500 rows upserted (累計 2,000 / 72,490, 0.9秒)
2026-03-04 15:31:33,599 INFO [sync_financials]   batch 5/145: 500 rows upserted (累計 2,500 / 72,490, 1.0秒)
2026-03-04 15:31:33,771 INFO [sync_financials]   batch 6/145: 500 rows upserted (累計 3,000 / 72,490, 1.2秒)
2026-03-04 15:31:33,949 INFO [sync_financials]   batch 7/145: 500 rows upserted (累計 3,500 / 72,490, 1.4秒)
2026-03-04 15:31:34,107 INFO [sync_financials]   batch 8/145: 500 rows upserted (累計 4,000 / 72,490, 1.5秒)
2026-03-04 15:31:34,268 INFO [sync_financials]   batch 9/145: 500 rows upserted (累計 4,500 / 72,490, 1.7秒)
2026-03-04 15:31:34,426 INFO [sync_financials]   batch 10/145: 500 rows upserted (累計 5,000 / 72,490, 1.9秒)
2026-03-04 15:31:34,592 INFO [sync_financials]   batch 11/145: 500 rows upserted (累計 5,500 / 72,490, 2.0秒)
2026-03-04 15:31:34,785 INFO [sync_financials]   batch 12/145: 500 rows upserted (累計 6,000 / 72,490, 2.2秒)
2026-03-04 15:31:34,944 INFO [sync_financials]   batch 13/145: 500 rows upserted (累計 6,500 / 72,490, 2.4秒)
2026-03-04 15:31:35,109 INFO [sync_financials]   batch 14/145: 500 rows upserted (累計 7,000 / 72,490, 2.5秒)
2026-03-04 15:31:35,255 INFO [sync_financials]   batch 15/145: 500 rows upserted (累計 7,500 / 72,490, 2.7秒)
2026-03-04 15:31:35,436 INFO [sync_financials]   batch 16/145: 500 rows upserted (累計 8,000 / 72,490, 2.9秒)
2026-03-04 15:31:35,618 INFO [sync_financials]   batch 17/145: 500 rows upserted (累計 8,500 / 72,490, 3.0秒)
2026-03-04 15:31:35,779 INFO [sync_financials]   batch 18/145: 500 rows upserted (累計 9,000 / 72,490, 3.2秒)
2026-03-04 15:31:35,950 INFO [sync_financials]   batch 19/145: 500 rows upserted (累計 9,500 / 72,490, 3.4秒)
2026-03-04 15:31:36,100 INFO [sync_financials]   batch 20/145: 500 rows upserted (累計 10,000 / 72,490, 3.5秒)
2026-03-04 15:31:36,253 INFO [sync_financials]   batch 21/145: 500 rows upserted (累計 10,500 / 72,490, 3.7秒)
2026-03-04 15:31:36,411 INFO [sync_financials]   batch 22/145: 500 rows upserted (累計 11,000 / 72,490, 3.8秒)
2026-03-04 15:31:36,593 INFO [sync_financials]   batch 23/145: 500 rows upserted (累計 11,500 / 72,490, 4.0秒)
2026-03-04 15:31:36,761 INFO [sync_financials]   batch 24/145: 500 rows upserted (累計 12,000 / 72,490, 4.2秒)
2026-03-04 15:31:36,944 INFO [sync_financials]   batch 25/145: 500 rows upserted (累計 12,500 / 72,490, 4.4秒)
2026-03-04 15:31:37,155 INFO [sync_financials]   batch 26/145: 500 rows upserted (累計 13,000 / 72,490, 4.6秒)
2026-03-04 15:31:37,321 INFO [sync_financials]   batch 27/145: 500 rows upserted (累計 13,500 / 72,490, 4.7秒)
2026-03-04 15:31:37,495 INFO [sync_financials]   batch 28/145: 500 rows upserted (累計 14,000 / 72,490, 4.9秒)
2026-03-04 15:31:37,769 INFO [sync_financials]   batch 29/145: 500 rows upserted (累計 14,500 / 72,490, 5.2秒)
2026-03-04 15:31:37,943 INFO [sync_financials]   batch 30/145: 500 rows upserted (累計 15,000 / 72,490, 5.4秒)
