file_path,file_name,matched_keywords,old_candidate_score,old_priority,new_candidate_score,new_priority,score_delta,score_contributions_old,score_contributions_new,review_bucket,confidence_final,extracted_fields_count,missing_key_fields,tuning_label
c:\Users\takuy\OneDrive\tdnet-excel-input\data\docs\140120260220566631.pdf,140120260220566631.pdf,自己株式の取得,3,low,5,medium,2,自己株式の取得:+3|derived_ticker:+1|derived_title:+1,自己株式の取得:+3|derived_ticker:+1|derived_title:+1,high_confidence_extracted,1.0,6,,promoted_to_medium
c:\Users\takuy\OneDrive\tdnet-excel-input\data\docs\140120260223566990.pdf,140120260223566990.pdf,自己株式の消却,0,low,4,medium,4,自己株式の消却:+3|derived_ticker:+1|derived_title:+1,自己株式の消却:+2|derived_ticker:+1|derived_title:+1,classifier_only,0.2,0,,promoted_to_medium
c:\Users\takuy\OneDrive\tdnet-excel-input\data\docs\140120260306577313.pdf,140120260306577313.pdf,自己株式の取得,2,low,5,medium,3,自己株式の取得:+3|derived_ticker:+1|derived_title:+1,自己株式の取得:+3|derived_ticker:+1|derived_title:+1,classifier_only,0.6,1,shares_limit|amount_limit_million_yen|start_date|end_date,promoted_to_medium
