ticker	company	status	fill_applied	fill_type	period	segment_name	sales	profit	unit	source_pdf	review_flag	review_reason
6674	GSユアサ	SUCCESS	yes	fill2	previous	産業電池電源	90058	10149	百万円	6674 GSユアサ.pdf	yes	period補完=fill2
6674	GSユアサ	SUCCESS	yes	fill2	previous	車載用リチウムイオン電池	67204	-1158	百万円	6674 GSユアサ.pdf	yes	period補完=fill2
6674	GSユアサ	SUCCESS	yes	fill2	current	自動車電池	79213	7926	百万円	6674 GSユアサ.pdf	yes	period補完=fill2
6674	GSユアサ	SUCCESS	yes	fill2	current	産業電池電源	93312	10224	百万円	6674 GSユアサ.pdf	yes	period補完=fill2
6674	GSユアサ	SUCCESS	yes	fill2	current	車載用リチウムイオン電池	70298	2683	百万円	6674 GSユアサ.pdf	yes	period補完=fill2
6701	日本電気	SUCCESS	yes	fill2	previous	ITサービス	1667806	118907	百万円	6701日本電気.pdf	yes	period補完=fill2
6701	日本電気	SUCCESS	yes	fill2	previous	社会インフラ	567198	39341	百万円	6701日本電気.pdf	yes	period補完=fill2
6701	日本電気	SUCCESS	yes	fill2	current	ITサービス	1712998	195675	百万円	6701日本電気.pdf	yes	period補完=fill2
6701	日本電気	SUCCESS	yes	fill2	current	社会インフラ	620327	27871	百万円	6701日本電気.pdf	yes	period補完=fill2
6946	アビオニクス	SUCCESS	yes	fill2	previous	情報システム	10930	1986	百万円	6946 アビオニクス.pdf	yes	period補完=fill2
6946	アビオニクス	SUCCESS	yes	fill2	previous	電子機器	2740	-321	百万円	6946 アビオニクス.pdf	yes	period補完=fill2
6946	アビオニクス	SUCCESS	yes	fill2	current	情報システム	16002	3170	百万円	6946 アビオニクス.pdf	yes	period補完=fill2
6946	アビオニクス	SUCCESS	yes	fill2	current	電子機器	3850	201	百万円	6946 アビオニクス.pdf	yes	period補完=fill2
7826	フルヤ金属	SUCCESS	no	-	previous	電子	3380	1251	百万円	7826フルヤ金属.pdf	yes	既知急変注意会社
7826	フルヤ金属	SUCCESS	no	-	previous	薄膜	5339	2055	百万円	7826フルヤ金属.pdf	yes	既知急変注意会社
7826	フルヤ金属	SUCCESS	no	-	previous	サーマル	2321	765	百万円	7826フルヤ金属.pdf	yes	既知急変注意会社
7826	フルヤ金属	SUCCESS	no	-	previous	ファインケミカル・リサイクル	13589	3764	百万円	7826フルヤ金属.pdf	yes	既知急変注意会社
7826	フルヤ金属	SUCCESS	no	-	previous	サプライチェーン支援	1549	-1	百万円	7826フルヤ金属.pdf	yes	既知急変注意会社
7826	フルヤ金属	SUCCESS	no	-	current	電子	5408	1076	百万円	7826フルヤ金属.pdf	yes	既知急変注意会社
7826	フルヤ金属	SUCCESS	no	-	current	薄膜	6581	2878	百万円	7826フルヤ金属.pdf	yes	既知急変注意会社
7826	フルヤ金属	SUCCESS	no	-	current	サーマル	2885	860	百万円	7826フルヤ金属.pdf	yes	既知急変注意会社
7826	フルヤ金属	SUCCESS	no	-	current	ファインケミカル・リサイクル	9799	2489	百万円	7826フルヤ金属.pdf	yes	既知急変注意会社
7826	フルヤ金属	SUCCESS	no	-	current	サプライチェーン支援	8673	716	百万円	7826フルヤ金属.pdf	yes	既知急変注意会社
8244	近鉄百貨店	SUCCESS	yes	fill2	previous	百貨店業	93104	3921	百万円	8244近鉄百貨店.pdf	yes	period補完=fill2
8244	近鉄百貨店	SUCCESS	yes	fill2	previous	卸・小売業	15623	375	百万円	8244近鉄百貨店.pdf	yes	period補完=fill2
8244	近鉄百貨店	SUCCESS	yes	fill2	previous	内装業	6362	873	百万円	8244近鉄百貨店.pdf	yes	period補完=fill2
8244	近鉄百貨店	SUCCESS	yes	fill2	previous	不動産業	349	216	百万円	8244近鉄百貨店.pdf	yes	period補完=fill2
8244	近鉄百貨店	SUCCESS	yes	fill2	current	百貨店業	103225	5692	百万円	8244近鉄百貨店.pdf	yes	period補完=fill2
8244	近鉄百貨店	SUCCESS	yes	fill2	current	卸・小売業	15736	196	百万円	8244近鉄百貨店.pdf	yes	period補完=fill2
8244	近鉄百貨店	SUCCESS	yes	fill2	current	内装業	6981	788	百万円	8244近鉄百貨店.pdf	yes	period補完=fill2
8244	近鉄百貨店	SUCCESS	yes	fill2	current	不動産業	391	241	百万円	8244近鉄百貨店.pdf	yes	period補完=fill2
JX	JX金属	SUCCESS	yes	fill1	previous	半導体材料	110866	20209	百万円	JX金属.pdf	yes	period補完=fill1
JX	JX金属	SUCCESS	yes	fill1	previous	情報通信材料	186873	20875	百万円	JX金属.pdf	yes	period補完=fill1
JX	JX金属	SUCCESS	yes	fill1	previous	基礎材料	222364	50787	百万円	JX金属.pdf	yes	period補完=fill1
JX	JX金属	SUCCESS	yes	fill1	current	半導体材料	130244	29897	百万円	JX金属.pdf	yes	period補完=fill1
JX	JX金属	SUCCESS	yes	fill1	current	情報通信材料	236153	23771	百万円	JX金属.pdf	yes	period補完=fill1
JX	JX金属	SUCCESS	yes	fill1	current	基礎材料	257705	80171	百万円	JX金属.pdf	yes	period補完=fill1
