ticker,period,quarter,sales,gross_profit,operating_profit
19440,2022-03-31,3Q,375198000000,,19859000000
19440,2022-03-31,FY,566794000000,,37087000000
19440,2023-03-31,1Q,115451000000,,354000000
19440,2023-03-31,2Q,258108000000,,6599000000
19440,2023-03-31,3Q,402673000000,,13567000000
19440,2023-03-31,FY,609132000000,,37430000000
19440,2024-03-31,1Q,112798000000,,869000000
19440,2024-03-31,2Q,270670000000,,9135000000
19440,2024-03-31,3Q,427112000000,,20620000000
19440,2024-03-31,FY,654516000000,,42677000000
19440,2025-03-31,1Q,133244000000,,1963000000
19440,2025-03-31,2Q,298040000000,,12876000000
19440,2025-03-31,3Q,464585000000,,30707000000
19440,2025-03-31,FY,705058000000,,60979000000
19440,2026-03-31,1Q,141412000000,,7243000000
19440,2026-03-31,2Q,321378000000,,31887000000
19440,2026-03-31,3Q,499267000000,,51957000000
19450,2021-03-31,FY,59514000000,,4104000000
19450,2022-03-31,1Q,10804000000,,-358000000
19450,2022-03-31,2Q,28281000000,,185000000
19450,2022-03-31,3Q,49610000000,,1266000000
19450,2022-03-31,FY,72578000000,,3158000000
19450,2023-03-31,1Q,18994000000,,544000000
19450,2023-03-31,2Q,37771000000,,1410000000
19450,2023-03-31,3Q,57188000000,,1596000000
19450,2023-03-31,FY,79055000000,,3458000000
19450,2024-03-31,1Q,20295000000,,376000000
19450,2024-03-31,2Q,41344000000,,1002000000
19450,2024-03-31,3Q,63648000000,,2912000000
19450,2024-03-31,FY,88467000000,,3959000000
19450,2025-03-31,1Q,14895000000,,-367000000
19450,2025-03-31,2Q,30541000000,,-249000000
19450,2025-03-31,3Q,46462000000,,-12000000
19450,2025-03-31,FY,67722000000,,2665000000
19450,2026-03-31,1Q,15645000000,,552000000
19450,2026-03-31,2Q,34283000000,,1180000000
19450,2026-03-31,3Q,56237000000,,2285000000
19490,2021-03-31,FY,154053000000,,11319000000
19490,2022-03-31,FY,167594000000,,13005000000
19490,2023-03-31,FY,175120000000,,13461000000
19490,2024-03-31,FY,185524000000,,12548000000
19490,2025-03-31,FY,203639000000,,17886000000
19500,2021-03-31,FY,195695000000,,14188000000
19500,2022-03-31,1Q,27781000000,,-1712000000
19500,2022-03-31,2Q,63683000000,,-1539000000
19500,2022-03-31,3Q,105263000000,,795000000
19500,2022-03-31,FY,173569000000,,7454000000
19500,2023-03-31,1Q,25506000000,,-1798000000
19500,2023-03-31,2Q,60889000000,,-1220000000
19500,2023-03-31,3Q,101722000000,,64000000
19500,2023-03-31,FY,172100000000,,9658000000
19500,2024-03-31,1Q,28577000000,,-1274000000
19500,2024-03-31,2Q,71039000000,,321000000
19500,2024-03-31,3Q,117511000000,,3163000000
19500,2024-03-31,FY,194031000000,,13448000000
19500,2025-03-31,1Q,33011000000,,-774000000
19500,2025-03-31,2Q,75625000000,,338000000
19500,2025-03-31,3Q,125013000000,,3709000000
19500,2025-03-31,FY,216922000000,,17934000000
19500,2026-03-31,1Q,30234000000,,-858000000
19500,2026-03-31,2Q,78419000000,,2721000000
19500,2026-03-31,3Q,135291000000,,9865000000
19510,2021-03-31,FY,573339000000,,36623000000
19520,2021-03-31,FY,107253000000,,6386000000
19520,2022-03-31,1Q,20247000000,,1472000000
19520,2022-03-31,2Q,41279000000,,2346000000
19520,2022-03-31,3Q,69886000000,,4561000000
19520,2022-03-31,FY,106718000000,,6881000000
19520,2023-03-31,1Q,21798000000,,618000000
19520,2023-03-31,2Q,43952000000,,2147000000
19520,2023-03-31,3Q,72386000000,,3834000000
19520,2023-03-31,FY,112234000000,,7124000000
19520,2024-03-31,1Q,21487000000,,460000000
19520,2024-03-31,2Q,46969000000,,1415000000
19520,2024-03-31,3Q,85626000000,,5069000000
19520,2024-03-31,FY,127978000000,,9235000000
19520,2024-03-31,FY,127978000000,,9235000000
19520,2025-03-31,1Q,24905000000,,760000000
19520,2025-03-31,2Q,54773000000,,2490000000
19520,2025-03-31,3Q,88568000000,,5262000000
19520,2025-03-31,FY,137684000000,,11346000000
19520,2026-03-31,1Q,30632000000,,1973000000
19520,2026-03-31,2Q,64858000000,,5380000000
19520,2026-03-31,3Q,104674000000,,8844000000
19520,2026-03-31,3Q,104674000000,,8844000000
19590,2023-03-31,2Q,168522000000,,10315000000
19600,2025-03-31,FY,67859000000,,2123000000
