comparison_key,ticker,period,quarter,duplicate_count,sample_rows_json
6750|2023-03-31|FY,6750,2023-03-31,FY,2,"[{""ticker"": ""67500"", ""period"": ""2023-03-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2023-03-28"", ""fetched_at"": ""2026-03-02 12:35:53""}, {""ticker"": ""67500"", ""period"": ""2023-03-31"", ""quarter"": ""FY"", ""sales"": 103727000000, ""gross_profit"": 38341000000, ""operating_profit"": 11305000000, ""disclosed_date"": ""2023-05-10"", ""fetched_at"": ""2026-03-02 12:35:53""}]"
6750|2024-03-31|2Q,6750,2024-03-31,2Q,2,"[{""ticker"": ""67500"", ""period"": ""2024-03-31"", ""quarter"": ""2Q"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2023-05-23"", ""fetched_at"": ""2026-03-02 12:35:53""}, {""ticker"": ""67500"", ""period"": ""2024-03-31"", ""quarter"": ""2Q"", ""sales"": 51695000000, ""gross_profit"": 20512000000, ""operating_profit"": 6110000000, ""disclosed_date"": ""2023-11-14"", ""fetched_at"": ""2026-03-02 12:35:53""}]"
6750|2024-03-31|FY,6750,2024-03-31,FY,2,"[{""ticker"": ""67500"", ""period"": ""2024-03-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2023-05-29"", ""fetched_at"": ""2026-03-02 12:35:53""}, {""ticker"": ""67500"", ""period"": ""2024-03-31"", ""quarter"": ""FY"", ""sales"": 110169000000, ""gross_profit"": 42572000000, ""operating_profit"": 12380000000, ""disclosed_date"": ""2024-05-15"", ""fetched_at"": ""2026-03-02 12:35:53""}]"
