comparison_key,ticker,period,quarter,duplicate_count,sample_rows_json
1375|2025-03-31|2Q,1375,2025-03-31,2Q,2,"[{""ticker"": ""13750"", ""period"": ""2025-03-31"", ""quarter"": ""2Q"", ""sales"": 21555000000, ""gross_profit"": 5532000000, ""operating_profit"": 1316000000, ""disclosed_date"": ""2024-11-07"", ""fetched_at"": ""2026-03-02 12:46:40""}, {""ticker"": ""13750"", ""period"": ""2025-03-31"", ""quarter"": ""2Q"", ""sales"": 21555000000, ""gross_profit"": null, ""operating_profit"": 1316000000, ""disclosed_date"": ""2024-11-25"", ""fetched_at"": ""2026-03-02 12:46:40""}]"
1376|2023-05-31|1Q,1376,2023-05-31,1Q,2,"[{""ticker"": ""13760"", ""period"": ""2023-05-31"", ""quarter"": ""1Q"", ""sales"": 14577000000, ""gross_profit"": 2218815000, ""operating_profit"": 333000000, ""disclosed_date"": ""2022-10-07"", ""fetched_at"": ""2026-03-02 12:46:41""}, {""ticker"": ""13760"", ""period"": ""2023-05-31"", ""quarter"": ""1Q"", ""sales"": 14577000000, ""gross_profit"": 2176249000, ""operating_profit"": 291000000, ""disclosed_date"": ""2022-10-12"", ""fetched_at"": ""2026-03-02 12:46:41""}]"
1376|2025-05-31|FY,1376,2025-05-31,FY,2,"[{""ticker"": ""13760"", ""period"": ""2025-05-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2025-05-16"", ""fetched_at"": ""2026-03-02 12:46:41""}, {""ticker"": ""13760"", ""period"": ""2025-05-31"", ""quarter"": ""FY"", ""sales"": 64508000000, ""gross_profit"": 9536545000, ""operating_profit"": 1511000000, ""disclosed_date"": ""2025-07-11"", ""fetched_at"": ""2026-03-02 12:46:41""}]"
1377|2024-05-31|FY,1377,2024-05-31,FY,2,"[{""ticker"": ""13770"", ""period"": ""2024-05-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2024-02-16"", ""fetched_at"": ""2026-03-02 12:46:42""}, {""ticker"": ""13770"", ""period"": ""2024-05-31"", ""quarter"": ""FY"", ""sales"": 88677000000, ""gross_profit"": 53973000000, ""operating_profit"": 10495000000, ""disclosed_date"": ""2024-07-12"", ""fetched_at"": ""2026-03-02 12:46:42""}]"
1379|2022-03-31|FY,1379,2022-03-31,FY,2,"[{""ticker"": ""13790"", ""period"": ""2022-03-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2022-02-10"", ""fetched_at"": ""2026-03-02 12:46:43""}, {""ticker"": ""13790"", ""period"": ""2022-03-31"", ""quarter"": ""FY"", ""sales"": 70932000000, ""gross_profit"": 17392000000, ""operating_profit"": 2014000000, ""disclosed_date"": ""2022-05-13"", ""fetched_at"": ""2026-03-02 12:46:43""}]"
1379|2023-03-31|FY,1379,2023-03-31,FY,5,"[{""ticker"": ""13790"", ""period"": ""2023-03-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2022-11-11"", ""fetched_at"": ""2026-03-02 12:46:43""}, {""ticker"": ""13790"", ""period"": ""2023-03-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2023-02-10"", ""fetched_at"": ""2026-03-02 12:46:43""}, {""ticker"": ""13790"", ""period"": ""2023-03-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2023-03-17"", ""fetched_at"": ""2026-03-02 12:46:43""}]"
1379|2024-03-31|2Q,1379,2024-03-31,2Q,2,"[{""ticker"": ""13790"", ""period"": ""2024-03-31"", ""quarter"": ""2Q"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2023-11-08"", ""fetched_at"": ""2026-03-02 12:46:43""}, {""ticker"": ""13790"", ""period"": ""2024-03-31"", ""quarter"": ""2Q"", ""sales"": 34862000000, ""gross_profit"": 5723000000, ""operating_profit"": -1975000000, ""disclosed_date"": ""2023-11-10"", ""fetched_at"": ""2026-03-02 12:46:43""}]"
1379|2024-03-31|FY,1379,2024-03-31,FY,2,"[{""ticker"": ""13790"", ""period"": ""2024-03-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2024-03-08"", ""fetched_at"": ""2026-03-02 12:46:43""}, {""ticker"": ""13790"", ""period"": ""2024-03-31"", ""quarter"": ""FY"", ""sales"": 79426000000, ""gross_profit"": 19789000000, ""operating_profit"": 3180000000, ""disclosed_date"": ""2024-05-10"", ""fetched_at"": ""2026-03-02 12:46:43""}]"
1379|2025-03-31|2Q,1379,2025-03-31,2Q,2,"[{""ticker"": ""13790"", ""period"": ""2025-03-31"", ""quarter"": ""2Q"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2024-11-14"", ""fetched_at"": ""2026-03-02 12:46:43""}, {""ticker"": ""13790"", ""period"": ""2025-03-31"", ""quarter"": ""2Q"", ""sales"": 35998000000, ""gross_profit"": 7573000000, ""operating_profit"": -282000000, ""disclosed_date"": ""2024-11-14"", ""fetched_at"": ""2026-03-02 12:46:43""}]"
1379|2025-03-31|FY,1379,2025-03-31,FY,4,"[{""ticker"": ""13790"", ""period"": ""2025-03-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2024-12-13"", ""fetched_at"": ""2026-03-02 12:46:43""}, {""ticker"": ""13790"", ""period"": ""2025-03-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2025-02-14"", ""fetched_at"": ""2026-03-02 12:46:43""}, {""ticker"": ""13790"", ""period"": ""2025-03-31"", ""quarter"": ""FY"", ""sales"": 83104000000, ""gross_profit"": 23760000000, ""operating_profit"": 6628000000, ""disclosed_date"": ""2025-05-14"", ""fetched_at"": ""2026-03-02 12:46:43""}]"
