source_path,ticker,company_name,title,old_prev_eps,old_new_eps,new_prev_eps,new_new_eps,expected_prev_eps,expected_new_eps,diff_status,failure_category,error,old_status,new_status
140120260304575482.pdf,,,業績予想の修正に関するお知らせ,202.0,202.0,202.0,202.0,,,both_detected_same,,,,
140120260304575655.pdf,,,業績予想の修正に関するお知らせ,,,,1.0,,,new_only_detected,縦ブロック失敗,,,
140120260304575669.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,縦ブロック失敗,,,
140120260304575759.pdf,,,業績予想の修正に関するお知らせ,,,,1.0,,,new_only_detected,縦ブロック失敗,,,
140120260304575984.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,縦ブロック失敗,,,
140120260304576008.pdf,,,業績予想の修正に関するお知らせ,,,,1.0,,,new_only_detected,縦ブロック失敗,,,
140120260304576030.pdf,,,業績予想の修正に関するお知らせ,,,1.0,15.1,,,new_only_detected,,,,
140120260304576061.pdf,,,業績予想の修正に関するお知らせ,,,1.0,8.1,,,new_only_detected,,,,
140120260305576166.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,縦ブロック失敗,,,
140120260305576562.pdf,,,業績予想の修正に関するお知らせ,,,,1.0,,,new_only_detected,縦ブロック失敗,,,
140120260305576596.pdf,,,業績予想の修正に関するお知らせ,,,,1.0,,,new_only_detected,縦ブロック失敗,,,
140120260305576615.pdf,,,業績予想の修正に関するお知らせ,851.0,3818.0,851.0,3818.0,,,both_detected_same,,,,
140120260305576670.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,縦ブロック失敗,,,
140120260305576734.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,縦ブロック失敗,,,
140120260305576780.pdf,,,業績予想の修正に関するお知らせ,,-4241.0,,-4241.0,,,both_detected_same,縦ブロック失敗,,,
140120260305576840.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,縦ブロック失敗,,,
140120260305576912.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,縦ブロック失敗,,,
140120260305576938.pdf,,,業績予想の修正に関するお知らせ,-20.0,-20.0,-20.0,-20.0,,,both_detected_same,,,,
140120260305577046.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,縦ブロック失敗,,,
140120260306577313.pdf,,,業績予想の修正に関するお知らせ,,,,1.0,,,new_only_detected,縦ブロック失敗,,,
140120260306577334.pdf,,,業績予想の修正に関するお知らせ,,,1.0,18.4,,,new_only_detected,,,,
140120260306577591.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,ラベル未検出,,,
140120260306577666.pdf,,,業績予想の修正に関するお知らせ,,,1.0,-1.0,,,new_only_detected,,,,
140120260306577667.pdf,,,業績予想の修正に関するお知らせ,8986719.0,8986719.0,8986719.0,8986719.0,,,both_detected_same,,,,
140120260306577673.pdf,,,業績予想の修正に関するお知らせ,,,,202.0,,,new_only_detected,縦ブロック失敗,,,
140120260306577712.pdf,,,Ⅲ 2026年10月期 業績予想と重要施策,20.2,19.4,20.2,19.4,,,both_detected_same,,,,
140120260306577734.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,縦ブロック失敗,,,
140120260306577757.pdf,,,業績予想の修正に関するお知らせ,151.0,193.0,151.0,193.0,,,both_detected_same,,,,
140120260306577795.pdf,,,業績予想の修正に関するお知らせ,,,,1.0,,,new_only_detected,縦ブロック失敗,,,
140120260309578005.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,縦ブロック失敗,,,
140120260309578131.pdf,,,業績予想の修正に関するお知らせ,724811.0,22369356.0,724811.0,22369356.0,,,both_detected_same,,,,
140120260309578223.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,ラベル未検出,,,
140120260309578330.pdf,,,業績予想の修正に関するお知らせ,,,,1.0,,,new_only_detected,縦ブロック失敗,,,
140120260309578448.pdf,,,◼ 2026年度通期業績予想,,,,,,,both_missing,ラベル未検出,,,
140120260309578531.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,縦ブロック失敗,,,
140120260309578589.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,縦ブロック失敗,,,
140120260309578590.pdf,,,業績予想の修正に関するお知らせ,1.0,,1.0,,,,both_detected_same,ラベル未検出,,,
140120260310578680.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,縦ブロック失敗,,,
140120260310578705.pdf,,,2 2026年７月期連結業績予想,,,,,,,both_missing,ラベル未検出,,,
140120260310578801.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,縦ブロック失敗,,,
140120260310578805.pdf,,,業績予想の修正に関するお知らせ,,,,1.0,,,new_only_detected,縦ブロック失敗,,,
140120260310578808.pdf,,,業績予想の修正に関するお知らせ,,,,-20.01,,,new_only_detected,縦ブロック失敗,,,
140120260310578871.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,縦ブロック失敗,,,
140120260310578917.pdf,,,業績予想の修正に関するお知らせ,,,,1.0,,,new_only_detected,縦ブロック失敗,,,
140120260310578923.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,縦ブロック失敗,,,
140120260310579032.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,縦ブロック失敗,,,
140120260310579038.pdf,,,2026年７月期 通期連結業績予想の修正,,,,,,,both_missing,数値抽出失敗,,,
140120260310579106.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,縦ブロック失敗,,,
140120260310579159.pdf,,,業績予想の修正に関するお知らせ,,,1.0,9.8,,,new_only_detected,,,,
